#node1	node2
Q92841	Q99459
P08069	Q5JWF2
Q6QNY1	Q8TDH9
P78536	Q04721
Q15717	Q9UKV8
P12931	P27635
406955	Q9NQC7
P18848	P31749
P36578	P46778
O43889	P50402
P26373	P62993
Q03111	Q16695
P11234	Q9NZL6
P78364	Q9BSM1
P17947	Q08722
Q14197	Q6P1L8
P04629	Q96PU5
Q99497	Q9UER7
P04350	Q13546
O15524	Q8N6P7
O75364	P20160
P01889	P52209
Q6UVK1	Q6VMQ6
406882	P01112
P16220	Q53ET0
P49768	Q8NFT8
P49281	Q9BT67
P23258	Q9HC77
O15085	Q14161
P32121	Q8NGY2
Q05516	Q86Y56
P02775	P17947
P05067	P29992
O75832	P62993
P56750	Q96AP7
P06241	P42684
P07910	Q15366
Q13185	Q9UPN9
O15379	P25490
P04350	Q9UHD2
P32121	Q6IF36
P00441	P43004
Q8IZL2	Q92793
O95139	P56556
P56705	Q9ULW2
P42262	Q13557
Q00597	Q9NVI1
P53680	Q15149
P62879	P84996
P35579	P60709
P03897	Q86Y39
P17480	Q15572
P08172	Q9UBU3
O43719	Q13315
P38405	P50406
P40337	P49257
Q01201	Q4VC05
O75376	P01584
P22736	P31749
P78332	Q13315
P02461	P16144
P18124	P62917
P05013	P26992
Q05516	Q9NPJ4
Q13363	Q92831
Q93100	Q9GZN8
O15444	P46094
P15153	Q92569
Q5UIP0	Q9BWC9
O43182	P61586
Q07866	Q6UWE0
P24941	Q9UM13
P25788	Q14164
Q01831	Q12824
P43243	Q15365
P08134	Q5JSL3
P35268	Q96BK5
P60953	Q9H7D0
Q92993	Q9UBU8
P01106	Q92667
P12004	Q9Y253
P01023	P61812
Q03113	Q9NZN5
P83731	Q8TDR0
P01034	P25774
Q8IVF5	Q92730
Q13188	Q9H8S9
P27986	Q9UQC2
P27348	Q01094
P40429	Q02878
Q13114	Q9Y6K9
P20340	Q13315
Q9HBH0	Q9NZN5
P41208	Q16531
P26951	Q8IZI9
Q6R327	Q9BVC4
406971	Q00534
P32121	Q8NGD1
Q16537	Q9UPR3
P04183	Q8N6T3
P27361	Q96RQ1
P82930	Q14194
P03956	P42830
P08581	Q9Y6I3
P05091	Q8TCE6
P22612	P50151
P58335	P62987
P52198	Q14185
Q07912	Q53EL9
P63261	Q92729
P29597	Q99665
P78406	Q99567
P19438	Q05655
O76001	P38405
P02649	Q07954
O14786	P15692
P25021	Q96D09
P46937	P49674
P06748	P61073
P42331	Q92730
O43921	P35968
O43463	P68431
O95644	Q02080
Q15399	Q9H2U1
O14610	P84996
Q8N7P3	Q96B33
O75400	P18206
P62136	Q13616
P00519	Q9P1A6
Q16576	Q9BQG0
Q13077	Q9Y286
Q96CW1	Q9NPJ6
P62879	Q92806
P52797	P54764
P49674	Q92888
Q96A08	Q9BTM1
P08588	P84996
Q05516	Q9BXR0
P04406	P29466
P23246	Q99717
Q92769	Q969S8
P18146	Q7Z2X4
P60604	Q8WZ73
P01225	P31152
O75529	Q8NEM7
P35626	Q8NG94
Q13107	Q16637
P02741	Q15485
Q14209	Q99856
P06241	P98082
P46108	P48736
O14610	P34969
P05067	P18669
Q15796	Q96S55
Q12789	Q15910
O95139	Q86Y39
P08069	P84996
406881	Q9H9Z2
P01583	Q9Y239
A6ND48	P32121
P35749	P60709
P35221	Q15910
O00273	Q01844
P18074	Q13216
P32121	P32248
P14174	Q9NWF9
O75909	P02511
O43295	Q8IXI1
P56706	Q9UP38
Q9Y3B4	Q9Y478
Q8IYF3	Q9P218
P04150	P19838
O43143	P98175
O76003	P01106
O43684	P01106
A6NJZ3	P32121
P49675	P58012
P06493	P50613
P60520	Q16445
P49674	Q9GZV5
P07202	Q99062
P51828	P62158
P07437	Q6PEY2
Q9NXR8	Q9Y4A5
Q13873	Q15796
P01116	P06756
P00338	P27540
P53567	Q15744
P46100	P83916
Q96KP6	Q9Y6K9
Q14919	Q9Y2V7
P13805	Q8ND90
O43318	P17844
P12830	P18031
O75113	Q96J02
P01589	P10914
P63104	Q15208
Q9C0J8	Q9Y2X7
P05109	Q5UIP0
P46108	Q9Y5I2
Q15025	Q9NPE3
O14965	Q17RY0
P27694	Q9UIF7
P22087	Q16637
P0C7U1	Q92793
P28715	Q9NRG0
P60228	Q92956
O15524	Q15370
P40337	P58876
P12931	P16471
P25787	P40306
O00463	P45983
P63151	Q9GZV5
O94819	P12980
Q12852	Q16659
Q04721	Q96JK9
P00533	Q9Y490
O75832	Q06323
P48357	Q9UBD9
P18146	Q14566
P80217	Q16520
P55055	Q12873
P35575	P54619
P18077	P62829
P28482	Q53H76
P30153	Q66LE6
P35813	Q9BS40
Q00535	Q01105
Q13510	Q15047
P12830	P67870
P07948	P29350
O15105	P05121
P20930	Q8IY92
P10275	Q9Y4B4
O96005	Q9H1C4
P63092	Q92633
P07498	Q9Y6X8
P16234	Q92914
P60866	P62854
O95782	P52735
O00329	Q06187
P23510	P43489
Q12805	Q9P2R6
P20671	Q9UJW3
P27986	Q15661
P13612	Q9Y4G6
P01241	Q9HC73
O00626	P25025
O60244	Q9ULK4
P98177	Q92793
Q6FI13	Q7Z2G1
P22694	P35498
P08238	Q04206
P15056	P62070
P09543	Q9Y4K3
P08151	Q15915
Q07817	Q96N67
P38398	P54727
O95433	P08238
P14635	P49815
O43521	P21796
Q8N257	Q9UKV0
P13693	Q15714
Q9H0E2	Q9H857
Q969H0	Q9Y6Q9
P06730	Q13542
P53778	Q13469
P06493	P19793
P29274	Q99814
P60228	P60709
P14174	Q13418
P20618	Q13418
A2RRP1	O95897
P54253	Q6DKK2
Q14204	Q6PEY2
P35625	Q13952
P63279	Q9UBW7
Q8NBZ0	Q9H9F9
O00459	O14654
P11836	Q15306
Q5T6C5	Q99750
P51452	Q16539
P21918	Q5JWF2
P49427	Q8ND25
O14908	Q13641
P04150	P09651
P03372	Q05086
O15525	Q9NR55
O76100	P32121
P32121	Q8NH87
O60763	Q13114
A5PLN9	O43617
P06899	Q9P0M6
P01562	P31785
Q9NP62	Q9UKT8
P25116	P62879
P01241	P11586
P62491	Q86YS3
O15264	P19338
P04637	Q02880
P04141	P40189
P16220	Q9Y2D5
Q86Z02	Q8TAD8
O15234	Q9Y5S9
Q13573	Q8IZL8
P01106	Q9NSV4
Q13094	Q9UKW4
P54132	Q9BX63
P12882	Q9NRG4
P30154	Q9UBN1
Q12824	Q9NYL2
P30876	Q08211
Q13635	Q99835
P28066	Q14696
P40818	Q7LBR1
P0CG48	P49281
P51610	Q06546
P17480	Q9H9Y6
Q16891	Q9BRQ6
P60763	Q86VI3
P06239	P14784
Q96DE5	Q9NYG5
Q16633	Q8IUQ4
Q13432	Q16637
O00161	O76038
Q13153	Q9UBI6
P01889	Q9Y2R2
P05067	P63104
P16220	Q7Z624
P38405	Q96R47
O00329	P11215
P26718	Q9BZM5
P04049	P24723
406881	P01106
P42677	P62857
P07900	P41279
P20226	Q5SXM2
P28845	P61421
Q07955	Q96SB4
O43318	P61964
P30711	Q9UII2
P32121	Q8NGJ4
P04406	P27695
P31995	P53778
O75529	Q86TJ2
P01241	P40238
P10636	Q7KZI7
Q14571	Q9UQM7
O14610	Q96PN6
Q9HBH0	Q9Y3M8
O00472	O95402
P52564	Q16584
Q93079	Q96RL1
P31040	P67870
P06239	P48736
P35626	Q6IF82
P23508	P33993
Q96HA1	Q9Y5P4
P62879	Q92633
407013	P36896
P06400	P17480
P04628	P18827
P18084	P41231
O00258	P01106
P23921	Q5UIP0
O14641	P54259
P21246	Q96CQ1
P24864	Q09472
Q9HBA0	Q9NWT6
O14558	P31749
P55064	Q99750
O75593	P55316
O43463	P24941
P18146	Q9UQN3
P01889	P69905
P16220	P36873
O15397	P09132
P18564	Q08043
P08588	P34947
P38936	P62879
P14550	Q9H1I8
P10301	Q8TDF6
P09913	P42224
P42261	Q12959
O14593	Q96EY7
O60313	P01106
P42771	P45983
Q01081	Q8NAV1
P46778	P62945
P05019	P08833
P38405	Q8NH83
O43795	Q9HAW0
Q16543	Q9Y5X3
Q02750	Q13164
P62266	P62841
P20073	Q04724
P08134	Q9Y3M8
P01106	Q8IX90
O43741	P51817
Q12873	Q16576
P32121	Q8NGN6
O14543	Q99062
406957	P46527
P49411	Q13573
O75815	Q92945
O15111	Q14790
O95831	P30480
Q13233	Q9BVA1
O43915	P21802
407035	Q9BZS1
Q13509	Q969W0
P01566	Q01113
P14598	Q04206
O95571	Q04206
Q9HCE7	Q9NPB6
O60674	P29350
P15260	Q8IZI9
Q13315	Q8NCP5
P16885	Q8TD86
Q12873	Q9UHX1
P48443	Q86YW9
O15131	O60684
P01112	Q12967
O60258	P21802
P50238	Q92905
Q0D2I5	Q15027
O94806	P63027
O60284	P62195
P62330	Q92945
Q00978	Q92985
O15151	P06400
P43405	Q8WV28
P84243	Q12888
P01889	P51148
Q8N5F7	Q9Y388
O14508	P51692
P53041	P56945
Q12888	Q96RU2
O95696	P55201
O94913	Q92989
P01106	P55884
P39019	P62244
P63261	Q16827
Q07021	Q14774
Q06187	Q99836
P52294	P61968
P49662	Q93008
O75909	Q9NP66
P04899	P14598
O14497	P38398
Q16621	Q92561
P55957	Q9BVA1
Q13216	Q9H9Q2
P10275	Q9UNE7
O43747	Q96G01
P56945	Q9H270
O43889	Q92793
Q14106	Q8NE35
P08107	Q14164
P24666	P43403
P51817	Q02846
P30084	Q9HAU4
P62891	P84098
Q13535	Q15291
O14757	P30304
P11387	Q9UGN5
O15047	Q96A08
P24394	Q9NPH9
P32121	Q6IEV9
Q9HBW1	Q9Y2I2
P59768	Q00722
P19793	Q93074
O00459	P36888
O00505	Q00978
A5YKK6	P61421
P02458	P17301
P35228	P38484
P53708	Q05397
A6NMZ7	P31431
O75030	P63279
P35268	P46779
O95831	Q07812
Q02241	Q15831
P50453	Q9Y4G2
Q6PI98	Q8NBZ0
O00571	P55884
P14923	Q13315
P16144	P56539
P25786	P41227
O95298	P03886
P12004	Q9NZJ0
P02768	Q7Z392
P04899	P08238
Q8N163	Q8ND90
P15018	P15260
P31751	P42345
P08887	Q9NPF7
P09429	Q14194
O14920	O95163
P01243	P17676
P49736	Q00534
P60842	P63104
O75928	P15104
P23511	P38398
P00740	P00742
O76054	Q07955
P49642	Q00653
P48431	Q92858
P01135	P11362
Q14103	Q92945
P31994	Q06124
P55036	Q15369
O60563	Q03111
P06213	P27986
P04049	P14784
P22455	Q9NQ66
P45973	Q13472
Q5T4F7	Q9H1J5
O15047	Q16778
P17301	Q14031
Q15102	Q9GZR7
P01106	Q07021
P05107	P32942
P19883	P24723
P08754	Q9UBS5
O96020	Q9UJX2
P01106	Q9UNQ2
P11234	Q07889
Q9H8Y8	Q9NXV2
P62829	P62899
Q13535	Q92804
Q13007	Q13261
P25445	Q5T3J3
407040	P10415
Q8WVZ9	Q9H761
P06400	Q09472
O43809	P19387
Q13233	Q13451
P56746	Q96B33
P05187	P21281
P63000	Q9Y4K3
P19338	P62993
O75044	Q9NRI5
Q5VTD9	Q9BUH8
P31751	Q9UKG1
P27635	P61254
P25445	Q92835
O75486	O94864
Q13315	Q99567
P48357	Q9NYY1
O14776	Q15047
P08047	P22301
P62875	Q9Y535
P62269	P62280
P54252	Q01844
P36897	Q9NVJ2
Q09472	Q9H160
P51970	Q9UI09
P36897	Q9UER7
P16234	Q96J02
P56524	Q9UKV0
P42345	Q16665
Q5JR59	Q99661
P22087	P60709
P51668	Q9C040
Q13510	Q15714
P36873	Q02156
P35626	Q9P1Q5
P20042	P51693
Q15172	Q5FBB7
O95997	Q9NYG5
P20645	Q9NZ52
O75771	P54132
O75716	P02686
O14757	P04637
407025	Q01453
P39019	Q00653
P26639	Q13315
P62945	P62987
Q15654	Q96HA1
P13500	P13611
Q8N7H5	Q92541
P16333	Q16513
P01116	Q8N431
P08514	Q9UQP3
O60674	P01241
P30968	P35222
Q5VVX9	Q9UBS8
P16220	Q9NXU5
P05013	P17181
O43524	Q16665
Q8N357	Q9Y328
Q9NR12	Q9UI14
P10412	Q9Y468
P52272	Q01130
P17181	P22301
P30086	Q9UKS6
Q15843	Q7L5N1
Q9ULL4	Q9Y2F9
P42677	P46782
Q15834	Q53H80
P52435	P61218
Q15038	Q8N1L9
P60568	Q5VWK5
P29466	Q9Y2G2
Q12857	Q13315
P62330	Q99418
Q9HCS4	Q9Y265
Q13797	Q9NVD7
Q15843	Q9NR80
O75084	Q00722
P13637	Q86UA1
O00505	O60663
P47898	P59768
O00548	Q99466
O95834	P01889
P15509	P26441
P25025	P34947
7503	O75530
28461	Q99856
P62070	Q15311
P78537	Q6QNY1
P03372	Q15788
P13674	Q92985
Q9UJX2	Q9UJX3
O00151	P08670
P19438	Q9Y6D5
P20700	Q96RG2
Q8N7W2	Q9H190
Q8N163	Q9Y2Q3
407046	P56817
Q14643	Q86YM7
P32321	Q6ZVK8
O60266	P16520
P00519	Q15036
O43524	Q93009
P15153	Q5JSL3
O00750	P09619
P55211	P98170
P46779	P62910
P38405	Q9H2C5
Q13753	Q496J9
P20226	Q969F0
P10301	Q9P212
Q01082	Q6NUQ1
P50150	Q08462
Q9BQA1	Q9UL18
P62258	Q9GZV5
Q96ST3	Q9UBP5
P04141	P48551
P51572	Q07817
P17302	Q71U36
Q13573	Q16513
O95433	P30793
Q15287	Q9UQ88
Q15078	Q92574
Q8N6Y0	Q96HB5
P33993	Q9NY93
P68363	Q8NCM8
P11940	P63167
P40227	P67775
P51668	Q6ZSG1
Q9H9Y6	Q9NRC8
P17480	Q13535
P62140	Q9NZJ5
P25054	Q14114
P12931	Q9UL51
O75940	Q14974
P05771	Q8TEY5
P07197	Q15759
A0JLT2	P84103
O00308	P51170
P20023	P60033
O75365	Q9NVI7
P19388	Q9H1D9
P15153	Q13485
P30153	P31749
Q71DI3	Q86U86
P10124	Q9NRR5
P49910	P57086
P08069	P21781
Q16891	Q5T3J3
Q96RU2	Q9HAW4
A4D1P6	O95376
A0JLT2	Q13136
O14965	P49450
P62807	Q6UXN9
O14543	O15530
P78396	Q15008
P46109	Q9ULV8
P49810	Q9Y2W7
Q07666	Q9UKA9
P22626	Q00839
P55157	Q9NRJ4
P01116	P21359
P19174	Q9UPX8
Q16512	Q9NRA0
P42229	Q8N2W9
P04637	Q13972
P43360	Q13617
P08107	P41279
P35080	Q07889
Q07011	Q12933
Q13315	Q96EY1
Q9UBG7	Q9Y618
P08575	P22681
O75365	Q92538
P11831	P13569
P04628	P51654
P40145	Q8TD86
P0DI81	Q86SZ2
P19878	P53778
O94762	Q9BTT4
Q12857	Q13535
Q13315	Q9BRV8
Q92530	Q92997
P19438	P29350
P00450	P01857
P83916	Q9UER7
O00555	P63096
P19838	P49642
P68400	Q53GL0
P31644	P60520
P10276	Q14686
O43295	P48023
O60840	Q9P2W3
P51654	P56706
P63208	Q969H0
P37173	P98082
P67870	Q8NDZ2
O75586	Q92731
Q01201	Q9UBN7
P14222	Q9GZR7
Q8WZA2	Q92736
P42226	Q92793
Q99877	Q9UKV0
P10275	Q15910
P53805	Q99558
P04141	P42702
P08069	P62993
P0CG48	P57075
P46531	Q9GZL7
Q05923	Q15759
P31947	Q9H4L5
P19876	Q04206
P35240	Q13136
O60343	Q9ULJ6
P05106	P55268
P20366	Q13596
P01570	Q13261
P15509	Q9UHD0
P04626	P23458
P54646	Q15831
P17612	P54619
P05129	P19634
P62330	Q9H2M9
P05141	Q15796
P08069	Q03113
P20333	Q96CX2
O95619	P25440
P07814	Q99558
O75578	Q13753
Q13137	Q9Y4E5
P81274	Q9BZE0
P50991	Q9NWA0
P63096	P63211
P24522	Q9UHY1
P01112	Q9NRA0
P49720	P56537
P18146	Q15025
P13805	Q9Y2L8
O60716	Q86UP0
P49815	Q13131
P32246	P80075
P27986	P61586
P06493	P68400
P62633	Q9H171
Q13315	Q9NQ84
P06400	Q8WTS6
P62879	Q96PN6
O94806	Q86YW0
P51636	Q03135
P63208	Q9H211
O75925	P40763
Q01094	Q04206
P29353	Q16832
P02766	P51681
P13569	Q7Z2H8
P24844	Q9H1R3
P52298	Q13315
P25963	Q04917
Q6P2E9	Q8IU60
343477	Q14164
P08708	Q99558
P11678	P19174
O00273	Q8WZ42
O43318	Q16543
P55854	Q05086
Q07157	Q8TF72
P15923	Q9NR48
P45983	P68032
P61952	Q14831
Q13813	Q9H9G7
P01857	P35658
Q08945	Q9P0M6
P36897	Q5T6F0
P12931	Q9BX66
P42695	Q6IBW4
Q9HCM9	Q9Y2X8
P05452	P23443
Q9BPX5	Q9UPY6
P14778	Q9Y4K3
P78406	Q5SRE5
P0CG48	Q96S82
P46779	P61313
P32456	Q96QZ7
P0CG47	Q9UJ41
P35813	P54619
O00622	P01106
P30050	P47914
P61353	P84098
P09086	P12956
P11166	P54619
Q99880	Q9Y5B9
P50552	Q9UKX5
Q13315	Q13541
P15170	Q14457
P49662	Q8TBZ2
P34969	P50150
P18031	P19235
O00487	Q9UL46
Q99683	Q9Y2U5
P46940	P62330
P01570	P26951
P17028	Q9BVJ6
P18848	P28482
O95453	Q99547
O14979	Q14197
P14672	P54619
P49137	Q13151
P01344	Q9NPI5
Q6ZP82	Q9NRI5
Q04695	Q16695
P17252	Q16875
P01570	Q6UXL0
P09960	P30504
P52272	Q8IX12
O75197	Q93098
O95999	P62979
P05231	Q99962
O95218	P32121
P98177	Q13526
P34947	P51677
O75928	Q99607
P32121	Q8NH76
P68104	Q02833
O15123	Q02763
P22607	Q92529
P18621	Q00005
P51668	Q96P09
P30260	Q9BS18
P60763	Q13017
P08107	P16104
O95544	Q8TBB1
P04183	Q16891
O14641	O60504
O95751	Q9BXS5
O14775	P08754
O60895	P84996
Q09028	Q9HCU9
P04198	P61244
P10275	P14921
P19320	P42338
P15927	Q8TDY2
P09884	P49643
O96019	Q15014
P68431	Q9UJW3
Q14974	Q9UH99
P49716	Q15910
O15371	Q14152
P17948	Q9HCE7
O43320	P08138
Q99618	Q9GZU7
P68431	Q92466
P16104	Q9NX02
Q15147	Q9BYG4
P23258	P53350
P12236	Q15796
Q9H9A5	Q9NZN8
Q8NBK3	Q99714
P06241	P52797
Q15750	Q86SQ4
O00744	O60353
P18206	Q8IY67
O75688	P05109
P22681	P48736
Q15653	Q9Y6K9
P05386	P61353
O15514	P19387
P35080	P36957
P62750	P62888
P35544	P39019
P56559	Q9NRR5
P18146	Q14894
O00212	O15085
P13807	P17612
724029	P28799
P14672	P42336
Q16637	Q6IE81
O00329	Q9P2W3
P54253	Q8NBV4
O95376	P51668
P25398	P60866
P62158	Q9BYF1
P50281	Q07021
P21802	Q9Y4K3
P02747	P08246
P46379	Q6T4P5
O60496	P62993
Q16637	Q93063
Q13315	Q9NP50
O95484	P57739
Q13557	Q9NZT1
O14559	P06241
A6NIT4	P26951
P18146	Q92793
Q6ZW49	Q9UBL3
P05141	Q13131
P35225	Q01344
P49888	Q7L5N1
P04637	Q13330
P61289	Q9HCE7
Q13418	Q9H2U1
P13569	P55060
P22105	P26012
P49321	P68431
Q8IUH3	Q99459
O76071	P04792
Q12988	Q5UIP0
P11229	P63096
P32121	Q8NGE9
P40424	Q96AQ6
P16220	Q96AY2
P10415	Q92934
P50150	Q9HD26
P07948	P21854
Q9HCE1	Q9UHX1
P11021	P49642
P63000	Q9Y5S8
Q12778	Q92793
Q13424	Q13614
P04637	P54132
Q03188	Q9UER7
O43597	P98160
O15524	P42226
O14686	Q03164
P25942	Q13077
O14798	Q8N5W9
O00151	O60739
P62993	Q9H9Y6
O43295	Q9UKE5
P28749	P30279
O60658	Q04206
P07305	P24941
P04183	Q6P0Q8
O60260	P41220
Q13535	Q8N3U4
P45984	Q9Y4H2
P61254	Q9UET6
Q4LE39	Q9H160
Q15054	Q16254
P40305	P42224
O95139	P03886
P0CG48	P54252
Q13315	Q8NEM0
P08151	P24941
Q7Z478	Q9HA65
P61981	Q15287
Q9GZY0	Q9NPJ8
O96013	P61981
P01889	Q9Y617
P83876	Q9Y333
P04275	P08648
P23508	Q9HC36
P35222	Q16827
P51946	Q9HB71
P08631	Q92556
Q15365	Q9H2H8
Q5VWK5	Q9NPF7
O43264	Q6NUQ1
O60861	P29558
P19105	Q9Y572
O95163	Q99558
O14641	Q96BN8
P55196	P63104
P08887	Q86WN2
Q96L33	Q96N67
P13747	P43629
P42345	Q9Y6K9
P41143	Q96AW1
P51817	P63027
P31946	Q9Y2A7
P62195	Q9Y5K5
P62266	Q8N806
Q01780	Q9H0D6
P41182	Q96RU7
Q3ZCM7	Q71U36
P10914	P20226
P12004	P30281
O14920	Q15628
407029	P08729
Q07666	Q13509
O60674	Q08334
P08253	Q9Y5S8
P12931	Q9UI08
P42229	P62879
P46108	Q92988
O95704	Q9HBG4
P18146	Q9Y6Y0
P62917	Q9Y3U8
P07942	P26012
P16333	P20936
O95630	Q9Y3E7
Q9NY59	Q9Y4G2
O14775	Q96PN6
P43364	Q15596
Q09472	Q9UBU8
P16234	P62993
406983	P23468
P08754	P25101
Q96C03	Q9NRR5
P42224	Q13557
P08238	Q9Y243
P17844	Q9NWQ8
P08727	P19012
O14640	P31749
P50395	Q13177
Q13868	Q9H9D4
P08670	P35555
P11831	P63165
O00141	P01876
Q15834	Q8TBB1
P32121	P47888
P14678	P53618
O95425	P20929
P13500	P51679
O14640	P84022
O95257	P37231
P24941	P25054
P09917	Q8WUH2
P17542	Q9UPN9
P55774	P68104
P42773	Q9NXS2
P05814	P62993
O95801	Q5W0B1
P34931	Q01201
Q7Z5Y7	Q96L34
P09429	Q5UIP0
O94805	Q9UJX2
P05556	Q7Z6G8
P06213	P11487
O43294	P84022
O95863	Q04206
P42338	P46108
O96013	Q15746
O14493	O95471
Q13137	Q9BVV2
O43918	P78527
P38405	Q8NH67
O75293	Q8TAE8
P14784	Q8WXH5
Q5VTD9	Q96HC4
P35222	P37173
P50914	P62917
Q13107	Q7Z6Z7
406960	Q13469
O14939	P48736
Q13936	Q9Y5P8
P0C0S5	Q96DB2
P23588	Q92832
P06241	Q9UJV9
P01889	P16152
P11233	Q15311
P45983	P62873
O60291	P51668
Q99459	Q9H223
Q13485	Q9UNE7
P01106	Q01629
O95295	Q5JY77
P19876	P41597
P34810	Q15306
P03372	Q9Y6X2
O60583	P06400
P05386	P46777
P16471	P22681
P01100	P31152
Q13114	Q7Z434
Q04759	Q06187
P07900	Q99836
P52756	Q12906
O75044	Q9H4E5
P48058	Q13224
P34931	Q04864
P35568	Q05655
P17544	P18848
P01857	P13645
P60602	Q13546
P61254	P62993
Q96RT1	Q9HC29
O15479	P62280
P52198	Q8IVF5
P10147	P51686
Q9UKV0	Q9UQL6
P25208	P60709
O60907	P62805
P27482	P35228
P23470	Q15118
P50151	P63096
P04626	Q13239
P30504	Q63HN8
P07498	Q9Y6K9
P11142	Q04206
P02768	Q07343
Q15645	Q86YR5
P06400	P15056
P24941	P35222
P51636	Q96JH8
Q8TDZ2	Q9UK32
28881	O43521
O00238	Q9NW38
Q14790	Q7Z434
Q99935	Q9UDV6
P23508	Q13439
P05556	P29353
P07686	P67870
P17987	Q13573
O43913	Q99741
O00548	Q9Y219
P25940	P31431
O00299	P01889
P31151	Q9P286
Q14790	Q99558
Q7Z2E3	Q8N137
P31947	Q9NYL2
P49716	Q9NZW5
P03886	Q9Y6M9
P56750	Q9Y5I7
Q12933	Q9NYA1
P60763	Q8N392
P02655	P41235
343477	Q9Y4K3
554210	Q9Y2M5
P06454	P24941
P51991	Q05519
Q71UI9	Q96DB2
P05412	Q92731
P01374	P19438
P10644	Q8TBE0
P36507	Q13153
Q9BWU1	Q9NX70
P54132	Q13111
Q12834	Q9UJX2
Q13315	Q15021
P58107	P62316
O00327	Q8IUM7
P38405	Q9H209
P62316	P63104
A6NIX2	Q9NRM7
Q92747	Q9P1U1
Q01844	Q9Y2I6
Q8IY92	Q9P2E9
P14923	Q12913
O75031	Q6P1J9
2310	P04179
Q9NUQ8	Q9UKV3
O14936	P11171
P09619	P18031
P05413	Q9UK41
Q01780	Q9Y230
P20073	P47897
P08581	Q05397
P35626	Q5TZ20
P16671	P49023
P67870	Q9Y5Z7
Q86UW9	Q99466
O00222	O14610
Q13427	Q8NAV1
P14136	Q8NEV4
P17612	Q15361
P25398	P62277
P04350	Q8WWQ0
P26439	P26599
P48643	Q13233
Q92900	Q96Q15
Q15759	Q99683
Q13077	Q13489
O60563	Q9UHB7
O14656	Q9UBM7
P05026	Q15910
P17655	P30419
P42766	P62917
P01100	P20823
O00626	Q04206
Q07890	Q96QB1
O60566	Q99459
P01106	P17812
Q15038	Q86YR5
O15360	Q9NPI8
Q6PI98	Q9C086
Q71U36	Q96RT8
Q9UQM7	Q9Y698
O94776	Q96T58
O15264	P22234
Q15583	Q5UIP0
Q04864	Q15306
P01024	P20702
O15111	Q12933
P36954	P62875
P49716	Q9Y2H8
P01042	P03952
P05771	Q05397
Q52LR7	Q92993
P12111	P23229
P35626	Q8NGA0
P06241	P48736
P54253	Q93009
P01266	P07307
P52198	Q13177
P63000	Q9Y3M8
O43524	P31947
P61586	Q07960
O00305	Q14738
P43629	Q06546
O00294	P62993
Q15369	Q93063
P62158	Q9H2S1
P04637	Q9UBE0
P03372	P17861
P17947	Q15080
O60941	P46939
P15018	P15509
P06756	P21815
P22681	Q14627
Q92769	Q9Y618
P17301	Q9HBI1
O60641	P49642
A7KAX9	P60953
P61073	Q15835
494327	Q9UMX1
P43360	Q9UBB4
P35225	Q14627
Q14511	Q9UM11
P0C0S5	P68133
P49286	P61952
P19388	P30876
P12277	Q8N6R1
O75674	Q8IZL8
P0CG48	P17252
Q01831	Q92889
Q99496	Q9Y385
P25440	Q9NPI1
O14733	Q12852
O14627	Q9HCS4
P29622	Q92956
Q8N668	Q92830
Q13402	Q8WXG9
P07360	P13987
Q96BN2	Q9HBM6
O43516	P68032
P27986	P60763
P55036	P62195
Q9NWB7	Q9Y2Q3
P32121	Q8N349
Q96QR1	Q9HAW0
P04839	P47712
P26641	Q7L5D6
P52597	Q13315
P54253	Q7Z6M4
P42677	P60866
P36873	Q07817
Q13573	Q9Y383
P04899	Q99500
Q16777	Q93079
Q96GM8	Q99963
P01111	Q92565
P60510	Q04206
P25054	Q14160
P23508	Q14152
P60510	Q13322
Q13237	Q9Y6F6
P08670	P13805
P49715	Q15744
P62906	Q99558
P16220	P49674
P01106	Q8IU85
Q96QG7	Q9Y6C2
P05107	Q7Z6G8
Q96GD4	Q9UM11
Q93009	Q9UJX6
O60884	P62805
Q07955	Q12986
Q01813	Q99459
Q15459	Q86XP3
442917	Q9Y2Y9
P21462	P50148
Q13936	Q14957
P04899	P14416
P25208	P37173
P14136	Q96HL8
P20333	P38646
O14776	Q9NQ29
Q14653	Q8NEV9
Q13467	Q9NQ66
P42224	P49790
P78356	Q13464
Q9BSJ2	Q9NY65
P15121	Q03001
Q96A37	Q96B02
P46531	P62979
P08648	P78509
O75533	Q15393
P10451	Q13797
Q8TAU3	Q9BUH8
P22455	Q99961
P17252	Q9NSI5
P31483	Q14296
Q15428	Q8N163
P01106	P62166
P31751	Q06190
O15344	Q02556
P62987	Q07812
Q07021	Q96EB6
Q14181	Q8IW50
P08134	Q13017
O14610	P47898
P15927	P56182
Q13404	Q14164
P52757	P61587
Q13451	Q14164
P40429	P62424
O75821	Q14152
P08865	P62241
P78527	Q9P2K8
O95819	P62701
O60739	Q9GZZ1
P40197	P48736
P27986	Q9HBH0
P42345	Q70Z35
P48507	P62330
O15013	P12980
P0CG47	Q9UM54
P62070	Q8WZA2
P15884	P56545
Q8NER5	Q9HAU4
P29400	Q05397
P59046	Q99558
O95429	P08107
O15379	Q15759
Q92956	Q9UBB4
O60825	P54619
O14933	Q9BYM8
P62633	P83731
P16144	Q9HBI1
P16104	Q92830
P09471	P27361
P10275	Q15788
O14920	Q9BXL7
Q16659	Q86VX9
O15520	P35916
P36894	Q8WUH2
