#node1	node2
P07900	P09874
P37840	P42858
P06213	Q02750
O14639	Q12933
Q92621	Q99567
Q9BZL6	Q9P2E9
Q13573	Q96AE4
P10275	Q96EB6
O15530	Q9UIA9
Q6RW13	Q9UKF7
P09874	Q9Y6K9
Q8WWV3	Q9UPT5
P53992	Q15436
Q9BZJ0	Q9NRI5
O75306	P28331
Q96JB5	Q9H2U1
Q96NA2	Q9Y6G9
O95994	Q9NPI1
P46527	P62993
O15198	Q9H3U1
P08253	Q01955
Q13137	Q9UNA4
P14778	Q99759
Q99417	Q9UKV8
A6NF89	P35626
Q02224	Q8WVM7
O75197	P56704
Q7Z434	Q9H1Y0
Q99612	Q9HCU4
Q14197	Q9BYD6
P67870	Q9BVJ6
Q08945	Q96A08
A8MTJ3	Q9NYW4
P05129	Q9BZL6
P38936	P54252
O95467	P62879
P08138	Q9Y4K3
P01106	Q96EY1
P01571	P31785
O95373	P13569
P14868	Q92569
O95166	Q00610
P62829	Q9UL18
O95398	P53778
O95197	Q9Y5P4
P42166	Q99459
P26368	P84103
P38484	Q9GZX6
Q7L0Q8	Q8NF50
O95619	Q92993
P49454	Q13315
O15145	Q07890
P53618	P84077
O15264	P17535
Q92599	Q9UMN6
O43504	Q5UIP0
Q15910	Q9UHG3
P49459	P62987
P05015	Q99650
Q13541	Q16539
P62714	Q16539
P16333	Q9BXM0
P18615	Q8WX92
O14641	Q9NVV9
Q01081	Q9UBU9
O00264	P40337
Q13573	Q9UHD8
P14672	P41743
P67775	Q9BXT2
Q14332	Q9H1J7
Q15047	Q96RU7
P12980	P41134
P21860	P43405
P24941	Q02535
P13797	Q8IY92
P13010	P45985
P51948	Q03181
Q9NRC1	Q9UBF9
O60674	P40189
O15455	Q15311
P05113	Q9UHF4
P60709	Q9NRI5
P04070	P35237
Q13535	Q92785
P67809	Q7Z6M2
P78527	Q9Y230
O60674	P01571
P22681	P42701
Q14197	Q9BYC8
Q13485	Q96RN5
O76024	P18850
P42566	Q9P0V3
P04637	Q8TAQ5
P24864	Q9UJX5
O00459	P01111
Q8TDR0	Q9P2Q2
O00469	Q13535
Q99459	Q9UKL0
P05014	Q8IU57
P50053	Q9H6Z4
Q99683	Q99828
P21802	Q9NQ66
O76093	P08069
P19838	Q16512
O95622	P35354
P08620	P11362
P51817	Q13698
P11177	P23508
P43243	Q9Y6E0
P08246	P10606
P31946	Q05655
P05014	Q5VWK5
Q8N2W9	Q9UJU2
Q13573	Q92905
O75197	P56705
P07339	P51149
O14727	O15392
P22087	Q13418
P62875	Q9NVU0
P09661	Q9BWJ5
Q00839	Q9Y297
P19174	Q13393
Q06609	Q96RT7
P17844	P35222
P62854	Q9UKV8
P51116	Q9HAF1
P84095	Q9P107
P53680	Q07889
P05129	P60709
P62714	P62955
P23527	Q9UQL6
P53671	Q13177
Q13315	Q96B54
P45983	Q8TEQ6
P14174	Q9H1Y0
Q15003	Q9NTJ3
Q05513	Q8IX03
P05106	P08123
O14807	Q15311
P23526	Q13177
O43752	O75379
Q13555	Q9UQM7
P01100	Q13485
P29992	P30968
P15408	P18146
P27037	P58166
P17020	Q13535
P26641	P29692
26765	P20226
P35749	Q9UER7
P55854	Q16637
P04150	Q96GM5
P14625	P68400
Q16695	Q4FZB7
Q13794	Q14653
Q01094	Q06609
Q92616	Q9HC98
P21860	P42338
P31152	Q9HBH9
P48736	Q9UN42
Q13573	Q8N201
O43920	P28331
O14581	P35626
P30466	P43626
P62805	Q13315
P11487	Q15475
O95486	Q9NQW1
P18848	Q53ET0
Q02080	Q13469
P25024	P63096
O00574	P32121
P01106	Q96ST3
O14862	P10914
P24864	Q14209
Q68CP9	Q6STE5
P05067	P62993
Q9UHD2	Q9Y4K3
O43741	P48357
P52630	Q9Y2T4
O95149	Q9BV68
P11473	Q6P4E1
Q96IZ7	Q9BVJ6
Q09472	Q6AZZ1
P01116	P17931
P14373	Q9Y6B2
P10644	Q99435
P49321	P60520
P30480	Q9Y678
P58876	Q7L7L0
P08134	Q07960
P26998	P62993
P08238	P62701
O14561	Q9Y6M9
P18848	Q9NR55
O14492	P62993
Q5VVX9	Q96A37
O14920	O43353
O75578	P02458
O43683	Q9Y6D9
P05129	Q05586
P20936	Q8IZP0
P05067	Q93074
Q99504	Q9P2R6
P10586	Q9NT99
P35637	Q05519
P32969	P63173
P08670	Q96AE4
Q96LZ3	Q9UJX2
P62879	Q15147
P15509	Q8IZJ0
A8MYU2	P22612
Q16543	Q5HYK9
P14625	Q96P20
P67775	Q13315
P17948	P98077
P02655	P02768
P46094	Q07325
P01112	Q13129
O95299	P56556
O75140	P25788
P20936	P29323
406893	Q07820
Q15834	Q8TAU3
Q68CZ6	Q9NVX0
O75914	Q92730
O60749	Q15714
P17535	Q13485
Q86Y13	Q96B02
P30101	Q02809
O00487	P35609
Q16659	Q9Y617
P48729	P62495
Q06587	Q8IXK0
P24588	P63252
P16104	P22626
A8K6C2	P15260
P01112	P20936
P00519	Q13087
P05388	Q8WYK2
B1A4H9	P48551
P16520	P45983
P15621	P67870
P01889	P63220
O14905	O75197
P36954	Q9GZS3
Q13751	Q7L1I2
P01116	Q07889
O00212	Q68EM7
Q8TAD8	Q96N46
P10912	P29460
Q13432	Q15486
P09429	Q9UKR5
P24043	Q496J9
407024	Q00534
Q12959	Q9BTT6
Q8IWY9	Q9NVP2
P20809	Q9HC73
P19174	Q9ULH1
P20827	P22455
P49368	P63104
P11678	P16333
P42574	Q04637
P63010	Q96C10
Q13255	Q13555
P55072	Q86TM6
Q13237	Q68CJ9
P23458	Q13261
P27487	Q07325
P51148	Q8NEB9
O43474	P18146
Q15038	Q92904
O75925	P29590
Q13315	Q9BXS6
Q12933	Q9H8Y8
O14908	P57678
P12814	Q96HC4
Q00005	Q05639
Q08209	Q53ET0
574034	Q9NP95
P63010	Q5SW96
P05112	P40189
P06396	P78356
P62258	Q9Y230
O14786	P35968
O43513	Q9BWU1
Q9BU76	Q9H190
P12956	P23246
P22612	Q15746
P42331	Q07889
P46777	P46779
P36543	Q14696
P36956	Q969H0
P52735	Q58F21
O00570	P35222
P08700	P16471
P51991	P61978
P17987	Q99759
O00626	P32246
O95257	Q5RL73
O43586	P49207
P10398	P31749
P00533	Q9NSA1
Q13753	Q16787
O43347	Q4VXU2
P14780	P29400
P62834	Q8WWN8
Q13485	Q13887
O15230	P13612
P35626	Q8N0Y3
O75365	O94822
O95295	Q9UL45
O43318	Q9NRF9
O75400	Q8N5F7
P16298	Q13255
P11387	Q6P2Q9
O60583	P10914
P12235	P20333
B5ME96	P08637
Q13573	Q8NE71
O95467	Q3MJ16
P16144	P29323
O15047	P24864
Q02641	Q9Y5P8
O95178	O95299
P18124	P62826
Q8IWF7	Q9NPB0
P16333	P51398
P52907	Q9Y6K9
O43150	Q9UPZ6
Q8N448	Q9NPD8
P04350	Q8NCM8
Q13535	Q9NVC6
Q8IUX8	Q99962
P26927	Q9GZZ9
O94776	Q9C0K0
P12814	Q9NP98
P24864	P28482
Q712K3	Q86Y13
P54753	P98172
P63027	Q16623
P12814	Q96QZ7
P15248	Q13261
P62070	Q9NS23
P41586	Q9HAV0
P17612	Q01118
P03928	P56134
B1A4H9	Q9HBE5
P34931	Q9NV56
P30154	Q562F6
Q9HAU5	Q9Y5S9
