#node1	node2
P10451	P23229
P26358	P29350
O14920	O43283
P08700	Q01344
Q96K37	Q9GZU1
P98175	Q9BQ52
O00571	O43502
O75365	Q9UIA9
Q8N5V2	Q9UF33
P12532	P30480
Q9BY41	Q9P0M6
O00574	Q8NHW4
P42330	P43364
Q8NFH4	Q9BW27
Q7Z6B7	Q9HCK4
Q8IYF3	Q9Y6D9
O14744	P63104
Q13535	Q9NVC6
P00374	Q15388
P29460	Q04864
Q71U36	Q8NCM8
O14640	Q9UM47
P17081	Q6DT37
P05014	P78552
P02458	Q96JB6
Q04206	Q8IU54
P10721	P16885
P42229	P43365
Q13131	Q7RTN6
P55036	P62333
P32121	P58181
P20333	P48594
O75410	Q14008
Q15717	Q9UKA9
P02679	P08514
O60244	Q92731
P26010	Q99704
P14635	Q08050
P18146	Q92932
Q9NRM6	Q9UHF5
P38405	Q8NGC4
P67870	Q9UHY1
P19387	Q5T3J3
O75251	Q9Y6M9
P08514	P12111
Q13485	Q9NWN3
Q03113	Q9UP65
O43390	Q15366
P53350	Q08050
P04049	Q6VAB6
P49286	P63211
A1A4S6	P84095
Q5VVX9	Q86UV6
P18146	Q9BYU1
P32298	P51677
P19012	Q5T5P2
P45985	Q02779
P29597	Q969J5
P29350	Q9Y286
P19438	P54136
P16333	P31994
P01567	Q92793
Q92834	Q96KN7
P05771	P15056
P22626	Q13243
P00519	P78345
O75962	Q9Y5J5
Q8IWV7	Q9UHF0
P16871	P62993
O43164	Q96B02
O14678	Q96BY9
O43869	P32121
O15335	P17301
O43914	P78324
P52630	P62714
P26006	Q9UQP3
Q13554	Q9NY47
O94806	P19883
Q92797	Q9P2I0
O14709	Q13263
P52597	Q8IYB3
P19012	Q8N715
P01876	P02787
Q13113	Q7L5N1
P17081	Q8N264
28900	P27448
Q9HC98	Q9Y5L0
O95251	P21127
Q8WYL5	Q9BR76
P30480	P55735
Q05513	Q96RI1
P20337	P62158
Q13573	Q15014
P49790	Q9HC62
O43318	Q15759
P03372	Q92841
O00442	P46778
P12110	P53708
P22362	P51685
P54274	Q13416
O00300	O14788
Q9HBW0	Q9P2W3
Q08334	Q13007
O95299	P56556
Q8IUE6	Q9UKV0
P02786	P17931
P11021	Q13315
145781	O15304
P04637	P17252
P24723	Q9NYF0
P12814	P62993
P19419	P27361
O95402	Q96RN5
Q13402	Q8WXG9
Q7Z6L1	Q9BTE3
P32248	P55774
P25208	P62993
O15085	Q7L0Q8
P01138	P23560
P01116	Q0VAM2
P23508	P23526
P40227	Q9GZX7
P21333	P63104
P12004	P35251
P50616	Q15797
P60604	Q96PX1
Q14161	Q8IW93
P17252	P60709
O75593	Q14919
Q08170	Q08211
P32121	Q8NGE3
P16949	P27361
P16520	P35462
Q14181	Q9GZR7
P30679	P41594
P28070	P28074
P54840	Q86XI6
P08754	P49286
P08047	P25490
P10276	P31268
O75346	P14550
O60934	P09874
P21333	Q8WZ42
P04156	P46695
P06576	P31483
P12757	Q9UPN9
P27708	Q00653
P24522	P98177
P08708	P62277
P61981	Q7Z401
Q01118	Q13555
P53350	Q9H6R7
Q6SZW1	Q96A33
Q9UJX2	Q9UM13
P20963	P43405
O60603	P11142
P08648	P20908
P14598	Q04206
P07437	P20333
O14544	P40189
P10124	P10147
P13612	P46109
Q13315	Q15345
O76061	Q8TER5
Q13443	Q9UKS6
P14136	Q07092
P49815	Q13526
P55345	Q14686
Q15834	Q8TAP4
O43294	Q05209
O15126	Q9UMZ2
Q16659	Q9BQQ3
P12757	Q9UPZ6
P43358	Q86WT6
P78314	Q9BZW8
406991	P30304
P54259	Q9UQB8
O00469	Q9Y230
Q96DF8	Q9Y6D9
O95433	Q9HCU4
O95602	P19388
P04150	Q92793
P33992	Q92794
P02786	Q9P0V3
P27482	Q8IY92
P00488	P20073
Q13535	Q9H2K8
Q00653	Q969H6
Q15022	Q92800
P07437	P17302
P55157	Q9NQC3
P29350	Q06187
P51571	P62330
Q13535	Q13547
P12931	P18433
Q7Z6G3	Q9BVI4
Q08209	Q53ET0
O75044	P63000
P32121	P51679
P51946	P51948
P26373	Q9UL18
Q16637	Q6P0Q8
5512	Q9Y243
P49406	Q14197
Q06547	Q8TAP4
Q14192	Q969Q1
P31371	P35968
Q6P1K2	Q9P2H0
P14598	Q13153
O43463	Q00534
P20273	P29350
P05013	P15509
P62987	P63173
P26368	Q8IX12
O00238	Q99717
O15055	Q9Y297
Q13535	Q96R06
Q9P1Z2	Q9UJU2
P42345	P62942
O75365	O95347
P62993	Q6WCQ1
Q9GZS1	Q9NYV6
P20823	P28332
O15460	P04637
P55854	Q92466
Q16186	Q96IX5
P02768	Q7Z392
P49841	Q96ID5
O60739	P47813
P00749	P55347
Q86W26	Q9ULZ3
O95639	P06748
P05141	Q9Y6E7
O95848	P10398
O00255	Q15291
Q96GE4	Q9Y248
O95299	Q86Y39
O43683	Q9Y6B7
O00425	Q9UHX1
P02545	P55212
P04271	P23297
Q13573	Q6P3W7
P24864	Q9H1A4
P08575	Q9NWZ3
O95400	P23246
P31946	P45983
P05015	P24394
Q96A37	Q9H832
P56537	Q9Y3B9
P08865	P61247
A4D0S4	P18564
P20671	Q8N257
P49238	P78556
P35222	P42574
P56545	Q96RG2
