#node1	node2
P31749	Q14653
Q00597	Q9UBZ9
O75400	Q01081
Q12962	Q16531
O75369	P60709
P27694	P39748
P78543	Q9H361
P21246	Q9H8G2
O43318	Q7L7X3
P61586	Q07890
O60739	P30153
P17252	Q99941
P04183	Q8IVF5
O95398	P63096
P54253	Q8TE02
O14556	P78549
O43541	P84022
P27348	Q99698
P22087	Q9NX58
P04629	Q99961
O96013	P31946
O95059	O95707
Q96A00	Q9BZL4
Q8TBE0	Q9BUH8
O15297	Q13535
Q15303	Q8WWG1
407047	Q01453
Q13573	Q9H5V9
51639	P40337
P30480	Q9UHB9
Q01718	Q96G30
P21333	Q9NRF2
P16333	P48023
O14907	Q13952
A4D0S4	P26012
P21549	P62258
P08069	Q9HCT0
P35968	P55075
O43586	P18077
Q7L5D6	Q9Y6H5
O14893	P09382
P62805	Q16594
O95251	P25205
P29353	Q9NPF4
P60484	P62136
Q9BV97	Q9UGN5
O75943	Q9UM11
P51148	Q14164
P02649	P98164
P53567	Q10587
P06899	Q5VTR2
P05141	P13489
P29350	Q7Z6A9
Q8N612	Q96HR9
P24468	Q13573
Q02763	Q9GZP0
P43489	Q07011
P78337	Q9BQY4
P43694	Q12968
P02775	Q13794
P36897	Q15052
P16520	Q5JWF2
P01871	Q99962
P36542	P62993
P62258	Q9Y3M2
Q13573	Q15717
O00716	P41182
P40222	Q9H6S1
Q13315	Q13409
Q15910	Q9NYL2
P01588	Q99062
O43294	Q9H422
Q96A23	Q99417
O43521	Q8N3U4
P15311	P17612
P08134	Q9BZ29
P60709	Q96A23
P54132	Q13156
O43542	P43351
O95747	Q9H4A3
O14543	P08887
O00743	Q8NB46
P12319	P30273
P0C5Y9	Q99880
Q02556	Q14330
P16104	Q9Y5B9
P27037	P84022
P08238	P12814
P01106	Q6UB35
Q9BZI7	Q9H1J1
P37173	Q13347
P01709	P01857
O15198	O75197
P24522	P48740
P35544	P62854
P18077	P46779
Q8N357	Q9NPH0
O75461	Q96B26
O60603	P35247
O00716	P09884
Q86U86	Q96KM6
O95832	P56748
P15260	P29597
Q96PU8	Q9UKA9
Q8WUM4	Q99961
Q13123	Q96GM8
P32121	Q15173
P15336	Q02930
P31943	Q00839
Q13233	Q71UM5
P08754	Q9Y572
P42229	Q8N2W9
P58340	Q9UHY1
P18077	P42766
P24928	Q8N163
O15520	P21802
O00716	O96019
P13861	P24588
O75197	Q93098
Q5VU43	Q99459
P0C0S8	Q969S8
P84090	Q15047
Q14790	Q15078
Q13370	Q13554
Q96CV9	Q9Y4K3
Q01844	Q7Z6B0
P05107	P15498
Q01196	Q9H2X6
P28328	Q9GZS3
P35609	Q9H2S1
P52742	P61224
P18031	P31749
P15336	P35638
P41221	P51654
P21506	Q13263
O00193	Q13595
Q13509	Q16637
P09619	P61328
P01889	Q9H171
Q15428	Q9BUJ2
Q13332	Q15047
P63104	Q9H307
O14908	Q8N1F7
Q99459	Q9UNM6
P78537	Q96ES7
O00459	Q9Y6W8
P62249	Q15843
P10721	Q07890
O95999	P48729
P04183	P05060
P68431	P83916
Q96PY6	Q9NPD3
P07202	P38484
O43915	P08581
P26045	P31947
Q07890	Q96BY6
P60896	Q9GZQ8
P63279	Q86Y13
P54253	Q8N2M8
O76003	Q14164
Q9Y3A3	Q9Y6E0
P27361	P28562
O75438	P03923
P04150	P22736
P38398	Q13085
P43405	Q9UKW4
P35268	P62945
O43761	P01106
P02775	Q86TA1
P48357	Q15831
Q15365	Q6P2Q9
O76081	P46108
Q15323	Q9NX58
O43439	O75376
P38570	P46108
Q07890	Q5JSL3
P51965	Q96BH1
P51665	P60900
O14717	Q15047
P14555	Q6UXH1
Q96RU7	Q9Y2D1
O60739	P39019
O95182	P03897
P12004	Q149N8
O43390	P51991
P47813	Q99613
O43597	Q9ULV8
P27635	P83881
P25116	P63218
P55769	Q9Y333
P06241	Q8WWW8
P30260	Q12834
P27348	Q86W92
Q13049	Q9NRR5
Q96T60	Q9BQ66
P62263	Q16594
O15239	O43678
P14859	P24385
P11182	Q9HCK5
O15514	Q6P1J9
P78543	Q13310
Q13435	Q96GM8
P06899	Q93077
407021	P02461
O95402	Q9UHW5
P41221	Q8N474
P18146	Q96A33
O15226	Q04864
P62910	P63173
Q13485	Q9UNE7
P38398	Q14192
O14807	Q9P212
P61981	Q9HCI7
P01876	P13645
P11021	P60484
P35227	Q9HC52
Q13418	Q9UBM7
Q5TCY1	Q9H583
O43463	O75182
Q8NAC3	Q96F46
P13671	P62993
P50052	P50148
P63146	Q9NS91
P01127	P07910
P48995	Q03135
A4D2G3	P35626
Q96PU8	Q9NVV9
P31947	Q9Y2U9
Q06330	Q92905
O75533	Q15797
Q92831	Q9NWQ8
A4D1P6	O95376
Q04721	Q06330
O00555	Q9P2W3
P27658	Q53G59
P30480	Q14166
O14497	Q86U86
O95999	Q14525
P09651	Q8IYB3
Q5W0B1	Q9P2S5
P25116	Q8WTQ7
O75616	Q99459
Q8IZH2	Q92925
P04637	P17844
Q15654	Q9HBW0
P40337	P49720
O15145	P62993
P40337	Q9ULC4
O15455	Q9H0E2
O95201	Q12933
O15056	P00519
P18754	P55084
P54920	Q12846
Q9NQX3	Q9UN88
P49810	Q99466
O60684	P30793
P32121	P58180
Q5QP82	Q8IY92
P47914	P62829
Q04206	Q9UDY8
O15105	O43318
O15520	P29317
P01243	Q99471
Q92731	Q9UBK2
P17612	Q06710
P01137	P08476
P98164	Q9P2M1
P18146	P40617
P34741	Q15465
Q13177	Q15746
P01857	P08779
P30405	P99999
P35228	P42224
O75832	Q9UNM6
O15360	Q15788
Q14999	Q8N3Y1
P01574	Q9HC73
P23467	Q13480
P52756	Q08211
P00533	P23458
Q8IY92	Q96NY9
P10070	Q13625
P51955	P62745
P55884	Q99613
P21728	P63092
P41221	Q9H461
P21917	P63211
P30154	Q86US8
P0CG47	Q16621
O95619	Q9Y4A5
O43809	Q92530
O76094	P30480
P32927	Q92569
P84022	Q7LFL8
406958	O43306
P05129	Q05586
P51587	Q9BX63
P01229	Q16659
Q12824	Q13387
Q13868	Q9Y2L1
P01112	P05129
P08754	Q9UP65
P30048	Q00005
Q8IX04	Q8N9I9
O43684	Q9UJX4
P49815	Q9BVC4
P14416	P63151
O95931	Q14781
A6NM45	P56747
P00533	P35222
P99999	Q96BK5
Q9Y2L1	Q9Y3B2
P26358	P29350
O43150	Q96B97
A5PKW4	O60234
P16871	P63261
P25054	Q96HA1
P15336	P62140
P42766	P49207
P29322	P48736
Q04637	Q15029
O60499	Q96AJ9
P35244	Q13156
P18847	P53567
P56192	Q13418
P31269	Q93062
P12643	Q96NZ8
P19838	Q9NYJ8
P23508	Q04323
O00255	P31273
P62266	P62280
Q96KQ4	Q99459
O43889	Q8TEY5
O94952	Q9C0A0
P15153	Q13177
Q01081	Q9UMS4
P68366	Q13573
P12830	P31350
P09651	P62995
P17676	Q15744
P09471	P48736
Q66LE6	Q8IY92
P32121	Q5JRS4
O00151	O75582
