#node1	node2
O94985	P35555
P51817	P55011
P63000	Q9UNA1
Q00610	Q92844
P12004	P45983
P08651	P60709
P28482	Q16665
P38405	Q8NH00
P31943	Q9NYJ8
P38405	Q8NH67
P62805	Q92466
Q99873	Q9HC24
O15169	Q99961
P30480	P61019
O95751	Q6ZN18
O60894	P84996
Q96GM8	Q9NUQ8
Q08211	Q15287
P16220	P49674
P60953	Q9BYG4
P01023	P21281
Q8N5W9	Q92993
P49682	Q16627
P31943	Q13247
Q15834	Q9BVJ6
P60763	Q9H7D0
O75771	P81605
P60228	P60709
O95139	P03923
P09914	Q86WV6
O94979	P25054
P18146	Q99767
O95197	O95872
Q7Z4Q2	Q9Y4K3
O00231	Q15262
Q5VVX9	Q99675
P10721	Q8WXH5
Q08209	Q9UM13
P56704	Q9NPG1
Q00987	Q9UM73
Q2M3C7	Q8TBB1
P10071	Q9UMX1
P15884	Q02363
P46783	P62277
P16066	Q92542
P40424	P49639
Q8IWZ6	Q9UPT5
Q8N7P3	Q96B33
Q9NRR5	Q9UII2
Q13315	Q9ULD9
P04626	P35568
Q13573	Q14978
O95453	Q09161
P08047	P15172
P63165	P83916
O75461	P06493
O00182	P05155
P00519	P07203
P16333	Q9H222
P62269	P62841
Q96KM6	Q9BXP8
P16220	Q16539
O00401	P17301
Q99729	Q9GZS1
P18146	Q9Y6M9
P18621	P83881
P05141	P99999
Q13332	Q13885
P32121	Q8NHC8
O75528	Q9H213
P10275	Q6AZZ1
P23508	Q15363
P05019	Q02763
P13569	P28799
P40337	P47813
P15311	P17252
O15530	Q9UBS0
O60674	P05014
Q13136	Q13315
Q8TAP6	Q9Y467
P63104	Q06830
O43819	Q14061
P12931	P41240
P41159	Q8N6P7
P46109	Q02763
P05107	P46108
P28566	Q9UBI6
Q16594	Q9UPT9
P17947	Q96RE9
Q92560	Q969T4
P04632	P98170
O14610	Q5JWF2
P61964	Q15291
Q9H4I2	Q9UKY1
P62879	Q9UBY5
P06400	P45984
P60709	Q99829
P60953	Q96N67
P16220	Q13976
P25705	P30049
O94906	Q99459
P05067	P36544
Q5RKV6	Q9NQT5
P11021	Q13131
P36542	Q13191
P04626	Q12913
P48443	Q96ST3
P02768	P43146
Q07817	Q9H2V7
P0C869	Q03113
P16333	P63000
P54105	Q13315
P25787	P40306
P04899	P53778
O95831	Q9BRX2
O15379	Q92786
Q2M1K9	Q93009
P63104	Q96F86
O95999	Q9Y6K9
P53778	Q8WZA2
Q08209	Q13042
P42568	Q14566
O95999	P61088
P05129	Q9P2W3
Q15102	Q9Y3C7
P42768	P62993
P22694	Q07869
P04629	Q9ULH0
Q00653	Q71U36
