#node1	node2
P05386	P68104
P01588	Q8IU57
P61956	Q13332
Q01113	Q86WN2
P55210	Q13489
P41743	P63000
Q13133	Q15466
P21796	Q9BWD1
P78396	Q9P253
P51114	Q8N8V2
P04150	P12544
P62854	Q92597
O60462	P49763
P01889	Q9UGP8
Q15306	Q86UE8
P62244	Q99558
P15509	P40225
P42574	P78344
P02768	Q00005
Q08378	Q9Y6K9
P31749	Q96BA8
P0CL85	P12980
O15520	P22455
Q14511	Q8IZD9
P01374	P20333
P07951	P23508
O76050	P61088
P01566	Q08334
P14921	Q16665
347745	P62070
Q9ULG1	Q9Y265
Q13573	Q8TF72
P07900	P40763
Q03164	Q93034
P18077	P62913
P17948	Q96J02
P19105	Q9H1R3
P49841	Q15404
P05013	Q99650
O15111	P60484
P11802	P16989
O75390	P02511
O43524	Q16659
Q13042	Q9UJX2
O00459	P23443
P60520	Q14596
P01242	P42701
P08887	Q9UHD0
P48643	Q66LE6
P04278	P68104
P37173	P84022
O95400	P83876
P30154	P53041
O95376	P01106
O43768	Q8WXI2
O14727	P42574
P04156	Q03135
O00483	Q9UKV8
P15018	P15509
Q00839	Q13315
Q96AP0	Q9BSI4
Q04941	Q9Y478
Q08211	Q9NR30
Q5VTD9	Q92905
P01112	P10721
Q58A45	Q96DU9
P78364	Q06587
P00533	Q8NFM7
P27797	Q13952
P08670	Q9NRH1
P08107	P49841
P12544	P19338
O75928	P10276
P32004	Q02246
P63104	Q5QNW6
P50150	Q9HBW0
P08246	Q9NNW5
Q66PJ3	Q9H0F7
P50151	Q14832
P06748	P55345
Q13315	Q99575
Q14966	Q96ED9
P31785	P41159
O75746	Q9BUV8
P08708	P23396
P04637	Q13526
P14923	Q9NSA3
P01106	Q9C0J9
P12931	Q02156
O95750	P16234
O14807	P10398
P12081	P46777
P01127	P09486
114614	P17947
P15924	P78527
P0CG48	Q04323
O14974	Q9H2G2
O75925	Q9UIS9
P49674	Q7L7X3
P62745	Q9UNA1
Q03135	Q12778
O14737	Q5T3J3
P32321	Q9GZT8
O15270	P41182
Q13326	Q92629
Q99614	Q9P0V3
P28749	Q02363
P17655	Q9HBL0
O95931	Q14781
Q13547	Q9BTM1
O75347	Q9Y4K3
P36578	Q02878
Q15811	Q9NRI5
O00305	P30559
P19438	P35228
O43541	P01375
Q16619	Q99062
O60282	P42262
Q9BQQ3	Q9H422
P30556	Q05516
O43353	O95999
Q7Z434	Q86UT6
P38919	Q9UL18
P46108	Q8WU20
P30876	Q9NX70
P19438	Q9BXW9
P52565	Q712K3
O14640	Q53G59
Q9UJX2	Q9Y3Q8
P06730	Q9Y4K3
Q9H8T0	Q9P2H0
P47898	P50151
O15264	P17535
Q92831	Q96F10
P22680	P41235
P15153	P48736
P12111	P18084
Q14201	Q9UFF9
P35548	P56178
O60894	Q16602
P08727	P63104
O95747	P55011
Q08170	Q99459
Q8TAQ2	Q92922
P07900	Q96P20
Q01196	Q12824
P12956	Q9UKV8
O60262	O60266
P11362	P52797
O75197	Q14332
P31947	Q9Y446
O60701	Q9Y6K8
P12956	P22415
P01112	P51812
Q9NQT4	Q9Y2L1
P16144	Q13753
Q08334	Q8IU54
P02751	P55001
P13236	P46094
P18847	P53567
P04406	P62807
O75376	Q9NYJ8
O96017	P30307
P11309	P40763
P18074	P28715
O75643	O76071
O14904	O95813
O14519	O75956
P60520	Q92945
O15372	Q13573
P63267	Q07889
Q13573	Q96P70
P01112	Q9UJF2
P51946	Q9HB71
P32121	Q8N983
O00418	P05129
Q07889	Q8IXI1
Q92911	Q96RT1
P62424	Q92900
P18031	P46108
P07737	Q04724
P17612	Q8WXS5
O75528	P03372
O60674	Q9ULV8
O14493	O75970
P05556	P20908
E7EU14	Q99683
P05787	P52735
P18146	P84022
P22492	P49916
Q9UD71	Q9UQK1
P38936	Q96L91
O14678	Q96BY9
Q92934	Q96LZ3
P09651	P62995
P05386	P62910
O95967	Q5VTD9
P35998	Q5VTR2
P23508	P39656
P41221	Q9UP38
P43403	Q13239
Q96L33	Q96N67
P16333	Q9HCQ7
P19793	P67870
P32121	Q8NGS7
O43524	Q15796
O00178	Q13568
P62714	Q86XL3
O60739	Q13526
P23219	Q13164
P21462	P50148
Q8TBE0	Q99750
O75794	P61421
P35557	Q14397
P00338	Q8IZH2
P34969	P50150
P02753	P02766
P01106	P56192
P56748	P56856
P22607	P42336
P31946	Q9UQ35
O43493	P62993
P38405	Q8NGE5
P42224	Q15628
P18146	Q05193
P12018	P55157
P05198	Q9P2K8
P20290	Q14164
Q15038	Q9NX53
P60709	Q7L2H7
P14672	Q00610
P51828	P63092
P49023	Q9Y2X7
P06702	Q01995
O15131	Q9HCU9
O00291	Q00610
P62937	Q16849
P27815	Q16566
P26045	P78536
O15350	Q00987
Q71F56	Q9NX70
Q14194	Q9NY59
O14744	Q5VVJ2
407047	Q13127
P04080	P11171
P84996	Q7RTX0
Q00005	Q9Y4B5
Q16643	Q9BVJ7
P35626	Q8NG81
O95997	Q9NYG5
P05113	P15509
Q96IZ7	Q9P1U1
Q9H1J5	Q9ULW2
P62979	Q7LG56
Q96RJ3	Q9Y275
P42336	Q13077
P0C0S8	Q96A08
P55157	Q8IZD9
O43781	P62993
P61077	Q96FW1
O75916	P63211
Q99459	Q9NPG3
O15151	P10415
P11216	P15735
P32302	Q8NHW4
P08107	P11142
O75474	Q92997
P18545	P62873
Q9H1I8	Q9P2J2
P46778	P62993
Q13233	Q9NZL4
P15408	P20809
P35626	Q8NGC7
P05412	Q16534
P46109	Q13191
P50151	Q01970
P15090	P60709
O00459	Q8IXI1
P08172	Q9HAV0
O14746	Q06124
P49407	Q00610
O95989	Q9UKK9
O14746	P31749
Q04206	Q09472
P01566	Q9UHF4
Q92561	Q99584
O95813	Q93097
P08069	Q9NSA1
P30450	Q9NYU2
Q16576	Q9H0Y0
P54652	Q16659
Q13352	Q9GZR7
P23508	Q96AG4
P26373	Q9UHD2
P62714	Q13362
Q9H173	Q9HAU5
O00144	O96014
P63261	Q07889
O75528	Q9HBM6
P04179	P20338
P06400	P28340
Q15334	Q96AP0
P18124	P46779
P04637	P17931
Q96PU8	Q9NVV9
P08708	P51668
O14641	Q9HCE7
P27635	P35268
P24844	P63261
O15514	Q9BTT4
P54922	Q02539
Q9BRK4	Q9P286
O95996	Q9Y2T1
Q14457	Q9P2Y5
Q6PGQ7	Q99689
P16234	Q9NQ66
Q02641	Q13557
P55036	Q13200
O43677	O95299
P49366	Q13315
Q13617	Q92830
P04150	P38936
O15530	P17252
P49459	Q8TAZ6
P38936	Q08050
O75962	Q9Y5J5
Q01844	Q9HC44
Q14106	Q4VXU2
P04637	P09884
P16520	Q9UBS5
O14862	P10914
Q9HC38	Q9NPJ4
P33993	Q96BK5
P52272	Q13243
P05451	Q06141
P13942	P16070
P51681	P62310
P09341	Q16570
P56706	Q9H461
P52565	Q99828
O75019	P12318
Q16594	Q9BRQ0
Q13352	Q9BZI7
Q9BTE0	Q9UKR5
P19474	Q13616
Q08209	Q12834
P13804	Q14197
P35558	Q9UGI9
P02766	P05067
P49840	Q16584
P22681	Q7Z698
P35626	Q8NG95
P10720	P49682
P36542	Q96IZ0
P24522	P51531
P18146	Q13572
P51617	P53805
P50053	Q13418
P09651	Q12986
P02768	Q9H6Z4
O14493	P04278
P48059	Q13418
P14416	Q969Q6
P49005	Q15054
Q9BX70	Q9NPI1
P55084	Q16637
P35575	Q9UGI9
P62888	Q13233
P63173	Q5JVS0
P42702	Q8IU54
P62280	Q14164
P78545	Q9UQ90
P35968	Q9HCT0
P62807	Q99878
P06401	P53778
Q9UKX5	Q9UQP3
P62993	Q13191
O00232	Q9UET6
O43306	Q9UBI6
P18858	Q13509
Q9NXS2	Q9Y478
P31749	Q92574
Q13873	Q7Z5Y6
P01889	Q9NR31
O15162	Q9P0T4
P61956	Q06609
P63279	Q9Y3V2
P05386	P21246
O15230	Q15796
O00273	P51124
P62136	Q15428
P63165	Q9HCK8
P11831	Q9ULH7
P08069	P41240
Q15382	Q92574
P10415	Q06190
Q04206	Q13547
P16885	Q13094
Q8N2W9	Q8TAD8
A0JLT2	P27707
Q15759	Q9HAV0
Q00005	Q9HCC0
P29597	Q9HC73
P06213	Q01970
O95715	P51681
P38432	Q674X7
P32248	P80075
P51965	Q6ZNA4
Q99942	Q9Y613
P24468	P41235
O00175	O00574
P01116	Q5VWQ8
P08107	Q04864
P22392	Q14204
P11047	P18084
O00305	Q15172
P60900	Q9Y478
Q8N257	Q99878
O00501	P56856
P19022	Q05209
P01137	P07942
P45973	Q9NQS7
P08172	Q9P2W3
O14763	Q14790
P35228	P47712
P18146	Q96QZ0
P24821	P26012
P57078	Q12933
O15392	Q01094
P61353	Q15843
P19012	Q15154
O96019	P0C0S5
P48443	Q9UHV7
Q8WWF5	Q9Y2X8
P51116	Q9Y3Q8
Q9NPG1	Q9NQ66
P04908	P62807
O60504	Q6ZU52
O43182	P63000
P21796	Q16611
406988	O60315
O00574	P34947
P61604	Q5T3J3
P49023	Q9GZM8
P60709	Q9Y230
O15444	P46094
O14836	Q12933
O95425	P37231
P38936	Q92466
P10914	Q02556
Q15393	Q9NZC7
Q15287	Q9H7Z3
Q13765	Q9UKY1
P18206	P60660
P10721	P12034
P78545	Q8IUC1
P62280	Q9Y4K3
O95718	P62195
O60239	P45984
P35626	Q6IEV9
O60684	Q15274
Q15365	Q16851
P06703	Q02790
P35558	Q9UGJ0
O00141	P11940
P04839	Q13153
P41221	P56705
Q13315	Q8WZ42
P37088	Q96PU5
O00254	P00519
Q03001	Q16659
P38936	Q9UK53
P28702	Q92831
Q155Q3	Q92997
P56705	Q9NPG1
406913	O60784
P51991	Q13151
Q13501	Q9H492
P28482	P60953
P30480	Q13200
P01889	Q8N109
P24071	P32519
P62491	Q9ULV0
P68366	Q13885
P62993	Q13153
P18146	Q01629
Q4LE39	Q9H7L9
P16104	P51531
A4D0S4	Q496J9
P46459	Q13190
P13224	P40197
P19634	Q9H4A3
P21246	Q9NZM3
P68032	Q8TDR0
Q13643	Q9P286
P55199	Q9NQC3
Q15047	Q9Y4K4
P17948	P52797
P58753	Q9NWZ3
O95299	Q9P0J0
O15265	O75486
O60739	P37802
P14778	Q04206
P45974	Q9Y478
P57729	Q15797
Q9BVM2	Q9Y265
Q13435	Q96CW1
P30530	Q14393
P18146	Q07325
P46939	Q9Y4J8
O43663	P35900
Q14686	Q9NWQ8
P08173	P63096
P62191	Q15008
P21333	P32121
P11308	Q15047
Q14994	Q3L8U1
P48051	P63215
P20930	P40337
Q9UM73	Q9UPT6
P0C0S8	P0C1H6
407053	P34925
P41159	P48551
Q7L1W4	Q9NPD3
Q13936	Q9UQM7
P61587	Q14185
Q03164	Q9Y5J1
P19447	P51946
P01241	P61326
O14576	Q9H6R7
Q13535	Q9P2K6
P04637	Q15172
P49759	Q07955
O95402	Q15648
O60262	P42338
P04275	Q05397
P41182	Q9NYK1
O15379	O75367
P04000	Q9Y3B3
O43908	Q9BZM4
P00533	P01116
P07199	Q9BZD4
P18031	P40763
P14625	P31751
O14641	Q53G59
P04899	P35498
Q13255	Q13557
Q16890	Q99683
Q15366	Q9P2I0
P84095	Q9P286
P62258	P68431
P05386	P49207
Q13177	Q7Z6J0
Q96Q07	Q9P0U4
P17980	P62191
O75448	Q9UK32
P08514	P26010
O60674	Q13261
O75083	Q9UBN6
P09471	Q14831
O15520	P08138
P08138	P29353
O14757	Q99459
P19438	Q16836
51639	P23508
Q7LDG7	Q9UP65
P67775	Q16537
P36896	Q9HAU4
Q9H1Y0	Q9UJZ1
Q9NYJ8	Q9Y6Q6
Q14197	Q9HD33
O95639	P36873
O15344	O75800
P15529	Q9UEW8
Q14094	Q96MT8
O95149	P50542
O95819	P00367
P20702	P36941
P12004	Q9UQ84
O60359	P22612
P17081	Q9P2F6
P34932	Q13315
O15344	Q9Y2X8
O60840	Q9Y691
P35626	Q6IFN5
P01106	P0CG47
O96017	Q08050
P55854	Q8IVS2
P08621	Q15287
P0C0L4	P48740
O75578	P35609
P06702	Q00005
Q96KK5	Q9UQL6
Q96L33	Q9P286
P52597	Q9UKV8
P08575	P09382
O95831	Q0VDF9
P12236	Q9Y277
P57723	Q15365
Q13233	Q16531
P53350	Q96NT0
P30511	Q8N743
P62258	Q13111
P50552	P63104
O14733	Q13177
Q96EX3	Q9NYJ8
P31152	P35568
P11171	P35580
O75369	O75578
P35609	Q13352
O15111	O95819
O14944	Q15303
Q13148	Q13573
O15111	Q92851
P35244	Q9Y605
Q9ULL4	Q9Y2F9
P07900	P68400
P62979	Q13415
Q13093	Q13315
P35580	P62993
Q06432	Q9Y5P8
P52597	Q99459
P01137	Q14839
P08238	Q16665
P01891	Q9NYU2
Q16082	Q9HAW0
P08865	P15880
P08243	P18848
Q16531	Q8WV16
P04350	Q96AH8
Q01094	Q96B26
P49682	P80162
P01106	Q86VP6
P17948	P49763
P61981	Q8NEM2
P62995	Q13247
P01111	Q9NRA0
P63104	Q9NXR1
P15509	P60568
P49959	Q92878
P52756	Q07817
P57678	Q99459
Q13315	Q70CQ2
Q13227	Q9UJU6
P18847	Q04206
406899	P06400
P47914	P62888
P38936	Q9NZJ0
P04629	Q9NR46
O14980	P27540
P16220	Q9NR96
P01112	P52306
O14807	Q9P212
P17252	Q13164
P41227	Q15047
O00222	P62873
Q15047	Q96HD1
P35222	P42574
P48443	Q92830
P08572	P26012
P29372	Q9UIS9
O75592	P31946
P12931	P60709
O60356	Q09472
P04141	Q13469
O43353	Q96CX2
P25024	Q8WTQ7
P01241	P62714
P21815	Q05397
O43156	P78527
P00488	P16871
P49736	Q13535
O00459	P61586
O43491	P16885
P07910	Q9UL18
O14717	Q16623
P10912	P19174
P23508	Q9NYU2
P27361	Q9NZK7
P12956	Q12905
P20226	P42858
P08727	Q8IYI6
P25942	Q99417
P21796	Q15459
Q96FW1	Q9Y478
P05013	Q01344
P17947	Q08722
P42263	Q12879
P10966	P30450
Q92974	Q9BQE3
P25054	Q14114
P04049	P06239
Q9NRR5	Q9UBS4
Q05519	Q9UHX1
P08069	P22681
O43688	Q13432
O15551	Q07157
P02768	P04259
P62837	Q9UMX0
O14508	P08069
P23497	Q13315
O43684	Q8N5F7
P28328	Q9GZS3
P01112	P15498
P51003	Q9UKF6
P08581	P35222
P08514	P24821
C9J442	P18146
O15111	Q13489
P60953	Q9Y473
P60763	Q52LW3
Q92993	Q9H2F5
O14920	P55957
Q92843	Q9UMX3
O75530	P13612
P50570	Q14247
P08047	Q8IWA5
P63208	Q49AN0
P26038	P32942
P10301	Q8WYR1
Q09472	Q9UK53
P35527	Q92844
O95359	Q02224
O14640	Q9HAU4
Q06413	Q9H1R3
O14727	P10415
O00459	P61587
O95816	Q13233
Q01201	Q13489
O95793	P62136
Q15714	Q9H223
P51812	P67870
28442	Q99856
Q96FK6	Q9H1D9
P08670	P49641
P50213	P51553
Q15011	Q9H0E2
P14618	P51817
Q01094	Q96KQ4
P02462	P26006
P02776	P32248
O95347	Q9BPX3
P11473	P18146
P21802	Q9H0M0
P38936	P61244
P51571	Q92956
P17252	Q9NYF0
O94979	P04406
O75128	Q9BY11
P00533	Q07890
Q9H171	Q9UET6
Q14765	Q9HBE4
O14936	Q9P202
Q12959	Q96KB5
P10071	P48730
A6NIT4	Q8N6P7
Q13444	Q9Y371
P78362	Q86U06
P07332	P27986
P16401	P83916
O75530	O75956
P49238	Q99731
P17535	P35228
Q03014	Q9NQ30
P0C7T5	Q06330
O00574	Q15835
P27540	Q9C0J9
P15509	P17947
P49641	Q99570
P16220	P30968
P16220	P22612
P49756	Q86U06
P23396	P60866
P29466	Q14116
P08253	Q9Y5S8
Q99880	Q9P0U4
P15104	Q00653
P62312	Q9Y4Z0
P08047	Q53GD3
O15228	P11473
P16471	Q8WXH5
O00329	P42702
P00519	P42224
P04217	P54108
P10275	Q9Y265
O00141	P41252
P38936	Q13562
P08069	P46109
P05556	P30101
P28062	Q03519
Q13315	Q15390
P04083	Q7L5N1
O00267	Q58WW2
P12034	P35916
P02768	P50502
P15336	Q8TDY2
O43182	Q07889
Q12769	Q8WUM0
Q15323	Q92796
P31947	Q8ND30
P35227	Q8IXK0
P14679	P56693
P10809	Q9Y375
O43294	Q9Y2X7
Q05397	Q14185
P50616	Q9C0C2
O00574	P80075
Q13315	Q8NDD1
P19438	P78356
O15519	Q13158
Q9C0C4	Q9ULL4
Q13838	Q8WVV9
P15692	P49763
Q7Z406	Q9BUA6
P56545	Q3ZCQ8
P23497	P63165
O96019	P17480
P35968	Q9NRA1
O60232	Q8N5R6
406884	Q92945
P05113	Q99650
P61247	P62841
P08246	Q08117
P12004	P40926
P08754	P61952
O43837	P51553
Q9BPZ7	Q9BVC4
Q15393	Q15843
P18084	P25391
Q8ND90	Q96BZ8
Q13352	Q96P50
O75056	Q13885
P56199	P56945
P38159	P67809
Q13418	Q13573
P07333	P09038
P62807	Q9P0M6
P00519	P29322
O14561	Q86Y39
P12956	Q96SD1
P13569	Q9UL46
P11387	P14625
P14373	Q9NPD8
P12004	Q9UET6
P19793	Q9UK32
O00623	P40855
P32121	P34947
P46531	Q969H0
Q6P996	Q99623
O75815	P53396
P26373	P27635
P27482	Q08209
O15264	P63218
P17181	Q969D9
P00519	Q9BXM0
P05019	P28482
P60709	Q9UKX2
Q5T3J3	Q9H4M7
P17844	P55795
406887	P05231
P62917	Q9UQ80
P55789	Q92905
P32881	Q99062
Q13490	Q9NP84
O60674	P01236
Q8NHV9	Q92993
P62158	Q14123
P62310	Q01831
P49427	P62987
P16333	Q92988
P09919	P48357
P62316	Q9Y3F4
O00590	P10147
P22612	P41181
P30408	Q08345
P63279	Q9UI36
P11142	P41279
P06400	P27540
Q03164	Q6PD62
P17980	P42771
O14654	O15524
Q06330	Q92793
Q15428	Q8N163
P18146	Q96NX5
P10301	Q8WWW0
P02771	P42574
Q6VY07	Q9NZ52
P01584	P27930
P13533	Q9P2M7
P54619	Q86V24
P10276	P51946
Q7L2H7	Q9Y4K3
P53618	Q9UBF2
Q13094	Q92783
O95400	P46934
Q13573	Q96QU8
Q86VX9	Q9NVD7
O75815	P25788
P00338	P27540
O15400	Q16659
P34820	Q8TEU8
P51679	Q8NHW4
Q13797	Q9UQP3
P05386	P84098
O75400	Q70Z53
Q01094	Q14457
Q01081	Q8NAV1
P26368	P51991
P54826	Q14623
Q16891	Q9H8T0
100008588	O60264
P02458	P26010
P63096	Q13698
O75400	P24347
P46459	Q13573
Q02641	Q14738
P63208	Q9UKT5
O14964	P42566
P29320	P46108
P31947	Q9Y2I8
P24385	Q99828
P20908	Q9UKX5
Q15759	Q99683
P51809	P52594
P08631	P48736
P09619	P62993
P49841	Q8N0Z3
P01116	Q8N9B8
P0CG48	Q15628
P18146	P35711
P08514	P35443
P14678	P57678
P09884	Q92547
Q14194	Q9NQC3
Q8WUA4	Q9Y5Q8
P27986	P35916
Q9UJW3	Q9Y6K1
Q86VP1	Q9Y3C5
O60266	Q9UK08
O14933	P41227
P01106	Q8IWA0
O14686	Q9P0U4
P07199	P09874
P42704	Q9P2S5
P04049	Q96KB5
P24588	P63252
P19525	Q9NSD9
P05000	Q8N6P7
P17987	P20333
Q8WVZ9	Q9P2H0
O15162	Q16659
P53803	Q6P1J9
P49459	Q9NS91
P04406	P50583
P16234	P21583
O14512	P23458
P61224	Q8WYR1
O00471	P20700
O00401	P42684
P07437	Q9BZH6
O15144	Q9P1U1
Q07812	Q15759
P13232	Q01113
Q13972	Q9UK08
A6NHA9	P38405
P45984	P62834
Q02535	Q02548
P04637	P35232
Q12874	Q15459
P09630	Q9NRZ9
P33778	Q92769
P15407	P17544
P50613	Q13888
O95166	Q9Y4P1
O60282	P18146
Q02078	Q9NR83
O15116	Q14684
P11142	P49815
O60739	P22234
406907	Q9BYH8
O43914	Q9P1W8
P10912	P15248
O14641	Q13467
O15264	P07737
P38398	Q12962
Q07889	Q13972
Q06609	Q9Y376
O00238	Q6P3X3
O14904	O75197
O76075	P35226
P15407	Q16539
P12109	P18827
Q01668	Q13237
P18084	Q9Y4G6
P12956	Q14191
O14503	P08670
O60674	Q92569
P06241	P28340
P25208	Q99618
Q9GZS1	Q9H9Y6
P05060	P18754
P67870	Q92997
P26641	Q13332
Q15329	Q9UQ80
P11802	P24864
O95295	Q99570
Q66LE6	Q92736
P37023	Q03167
O15533	P01889
O43791	O60496
Q7RTN6	Q9H9S4
Q00610	Q6WCQ1
Q01081	Q92620
P61081	Q6ZNA4
P08047	Q12772
P61956	Q99607
P01889	Q13642
Q14203	Q7L1Q6
P01236	P48357
P35222	Q16620
O75251	P03915
O60341	P04637
P04406	P15927
Q9BZJ0	Q9NRI5
P56537	Q9BWH2
P20226	Q14919
Q8TDZ2	Q9UK32
Q05655	Q08462
406930	P08134
Q9NVV4	Q9UHD2
P62258	Q9Y572
P04908	Q96DB2
Q13315	Q6ZRS2
P63104	Q96B36
P19838	Q01201
P05387	P61513
Q14527	Q149N8
P21675	Q00987
P49642	Q96DV4
P31749	Q92569
P22314	P63104
Q92730	Q9H0H5
O14640	P55196
Q15018	Q9NXR7
A6NIT4	P38484
Q15910	Q9UBC3
P08069	P52803
Q09028	Q92769
B1A4H9	Q8N6P7
P01111	Q15349
P38936	P39748
P08670	Q8NEY8
P06734	Q15306
O14965	P42771
Q13573	Q9H4M9
O00305	Q9Y2T4
P23458	Q99683
Q01094	Q15022
Q9UL18	Q9UPQ9
Q07869	Q96A54
O14920	Q8WXC3
P53708	Q14315
O76039	Q9H2G2
P05423	P61218
P53779	Q92793
Q13425	Q16849
Q13409	Q96AH8
O00161	Q9P2Y5
P12830	Q68CZ2
Q96BK5	Q9Y2B0
Q9H2G2	Q9ULH1
P19235	P40225
P10275	Q13794
O00442	Q02543
P12757	Q9UJ78
Q13683	Q14192
P29460	Q00653
Q13085	Q13418
Q13315	Q659A1
P30086	Q99558
P46100	Q9P2H0
P01127	P21802
P52747	Q04206
P07585	Q05707
9757	Q8NEZ4
P20827	P54764
P05783	P61981
P01889	P15121
P17612	Q09472
P98170	Q13404
P04141	P15509
Q15746	Q9P286
P11021	P48039
P48729	Q96A00
P19838	Q9NPB9
Q09028	Q14839
P20340	Q92871
P03886	Q9UI09
P36402	Q09472
P20671	Q9H160
P31749	Q53ET0
O95163	Q04941
O15379	P58876
Q15714	Q86Y56
P08107	Q12933
Q9H3S4	Q9UGN5
O43390	Q08170
O75208	Q9HCE9
P08172	Q9UBI6
P12931	P16284
P25490	P62942
P16410	Q12857
Q9NPD8	Q9NPI8
O60543	P55055
Q13557	Q9Y6K9
P17948	Q00987
P22392	P41227
Q07889	Q15149
O43678	O95167
P56749	Q9NRL3
Q86XI6	Q93100
P16949	Q13153
Q96MS0	Q9Y6N7
P09874	Q9Y478
P53350	Q8IYD8
O14924	P05106
Q99665	Q9HBE4
Q8NHQ1	Q9BVJ6
P27348	Q9BZ23
P59768	Q9H1C0
P12643	Q16671
P25786	Q9GZN1
P42336	Q9NSC5
P26992	Q9UHD0
O00571	P63167
O14640	Q04721
O43353	P57678
P41182	Q03181
P63165	Q5T5X7
P55735	P62330
O60934	Q96EB6
P25942	P52294
P50914	Q07020
P40763	P52333
Q8IXH7	Q9H3P2
O75586	Q92731
P40933	Q04206
P39023	P62633
P55884	Q99613
Q13177	Q9Y2X7
Q9H2G2	Q9HCM9
P34947	P35372
O00459	P14616
P35226	P42771
P35626	Q8NGD3
P31947	P61587
P17081	Q5JSL3
P16615	P41143
O15530	P42336
Q9NPF5	Q9NXR8
Q03112	Q13363
P00451	P27797
Q9Y4H2	Q9Y6K9
P18146	P28482
P63092	Q01726
P09341	P32246
406930	O75116
P52907	Q9Y572
P46934	Q15303
P23443	P62714
P55769	Q14181
P01106	Q92974
P13804	Q9Y478
O43143	Q96BK5
O95391	Q6P2Q9
P30050	P62910
O00257	Q93009
P62829	Q07020
O14924	Q8WZA2
O15105	P36896
O95619	P0C0S5
P48544	Q9UBI6
P35626	Q8NGG0
P28482	Q02779
O14939	P00533
P05386	P12956
O94921	Q04917
O95865	Q15645
P60568	Q04206
O60894	Q5JWF2
P08754	P28222
P14598	Q8IZP0
P49759	Q01130
O94818	P56545
P60709	Q9Y4K3
P31994	Q8NHJ6
P53567	Q10587
P49427	P67870
O75578	P29400
O15269	Q8N138
Q92831	Q9Y6J9
P35626	Q96RC9
Q9NQT4	Q9Y3B2
P29353	Q9H9J2
O00422	Q4LE39
O75531	P42166
Q13546	Q8TEL6
O43150	Q96B97
P05015	Q9HBE5
P18621	P49207
P22694	P42261
P63146	Q8WVC0
P22626	Q00005
P06400	Q8TAQ2
Q04759	Q5SW24
P06493	P36873
P33076	P53567
O15457	P00519
P0C5Y9	Q8IYW5
P26441	Q16394
P62899	P63104
Q9NYQ7	Q9UJ04
P29597	P48357
P52333	Q13191
P63151	Q02641
P98175	Q13123
P01106	Q9H8H0
P46783	P60866
Q08945	Q9P0M6
P49841	Q8N4C6
P46527	Q08999
O75578	P05556
P56748	Q96AP7
Q15796	Q99717
P32121	Q15612
P06899	Q96BN2
P04275	P26010
Q13418	Q9NPH0
P12980	Q9UHG0
Q7Z3E2	Q9HAU0
O60244	Q9NPJ6
P01568	Q9HC73
O75508	P57739
P42338	P48736
P17612	Q9UK08
Q8N7W2	Q9H190
P62273	P62701
P60709	Q13268
P98164	Q9Y490
O43561	P02768
Q13315	Q70YC4
P35580	P61586
P48730	P61981
P17174	P30480
P06241	Q15036
P60709	Q7Z406
O75367	Q8IYW5
O75947	P18859
Q02930	Q16566
O75038	Q16513
Q99961	Q99963
P83916	Q9UPN9
Q05513	Q9BYG4
P62807	Q96QV6
Q09472	Q8N9B5
P01236	P42701
P19174	Q14008
P11831	Q13642
Q9BYB0	Q9Y566
Q13315	Q8N9T8
O43559	P28482
Q16659	Q96BV0
P02768	P55899
O95182	Q9P0J0
P47898	Q9HAV0
O75717	Q13315
P23396	P46781
P62837	Q9C035
Q9UI10	Q9UL18
Q15714	Q9Y4R8
O75197	P56705
O00628	O14832
O14931	P30273
P20809	Q99650
P35442	P53708
O00571	P08047
Q13315	Q92994
O96020	P62877
Q8N474	Q9NY61
P48023	P54284
Q15796	Q9H0M0
P16499	P19087
O15117	Q8N8S7
P04637	Q9UM63
O96017	Q16254
P60709	P62328
P05771	Q6R327
P12980	P43146
O43678	P56556
P23771	P25791
P51965	Q86Y13
O95816	Q15653
P23508	P61247
P01889	Q15078
P08134	Q9NQU5
Q86VP1	Q9Y4K3
Q13064	Q969T4
P23508	P40337
P61927	P83881
P48995	P62993
O75582	P18848
P00533	P29350
P25963	Q9NYJ8
A6ZKI3	Q9UMX0
A8K6C2	P42701
P27361	P42224
P10828	Q14686
P01009	P27824
O75019	P31994
Q14181	Q92765
O95391	P16220
P42704	Q9Y2Q3
P62487	Q9NWA0
Q13155	Q96L14
O75578	P35442
O00329	P32927
P17275	P53539
P05162	Q7Z569
P35228	Q04206
P45983	P63261
A6NIT4	P16871
P20333	Q13257
P05412	P62324
P46781	Q13233
P08238	P46777
O60828	P09497
P51531	P51532
P52907	Q9UFF9
P68036	Q6Q0C0
P18146	P52823
P19338	Q9Y6D6
P61587	Q96QB1
O60674	P16410
P43307	P48723
P08572	P12757
Q13535	Q15007
Q14197	Q96EL2
P03372	P28065
O14775	Q15406
O75569	Q15633
P13612	Q8WWW0
P05771	P19883
P09914	Q92945
P51668	Q9H5J8
Q5RKV6	Q7L5N1
P17301	P49746
P53350	Q9NYZ3
P62310	Q969L4
Q13573	Q9Y5Q9
P32456	Q9BX70
P35626	Q8NGF6
O60840	Q16558
P31749	PDPK2
P17252	Q15311
Q02153	Q99684
406999	P43354
Q13191	Q8IU57
O75914	Q7L0Q8
P61077	Q9NS56
P49754	Q5VVX9
P56746	Q16625
O60603	P58753
