#tail	head	KSP index
P45984	O95644	556
P53778	P05412	557
P53778	O95644	558
P11021	O14920	559
P11021	P25963	560
Q3ZCQ8	O14920	561
Q3ZCQ8	P25963	562
P62158	O14920	563
P34931	O14920	564
P34931	P25963	565
Q14192	Q13643	566
Q13643	Q14192	566
Q13114	P27986	567
Q13114	P12931	568
Q13114	Q99558	569
Q13114	P45983	570
Q13114	Q9Y4K3	571
Q13114	P53779	572
Q13114	P45984	573
Q13114	Q12933	574
Q13114	Q15628	575
Q15628	Q9Y6K9	575
Q13114	Q9UHD2	576
Q9UHD2	Q9Y6K9	576
Q13114	Q13077	577
Q13114	O00463	578
Q13114	Q7Z434	579
Q13114	Q92844	580
Q92844	Q9Y6K9	580
Q13114	P05186	581
Q13114	Q9Y6Q6	582
P18031	P25963	583
P15336	P05412	584
P08047	P05412	585
Q14192	P10275	586
Q14192	P38398	587
Q14192	Q9Y4K3	588
Q14192	P11831	589
P11831	Q14192	589
Q14192	Q8IZL8	590
Q14192	Q9UBZ9	591
Q9UBZ9	Q14192	591
Q14192	Q9Y6Q6	592
Q14192	P49810	593
P49810	Q14192	593
Q14192	Q9Y2G2	594
Q9Y2G2	Q9Y6K9	594
P31749	O14920	595
P31749	P25963	596
P31749	P15336	597
P31749	P05412	598
Q12933	P27986	599
Q12933	P19438	600
Q12933	P04350	601
Q12933	P07437	602
Q12933	Q15750	603
Q12933	Q99558	604
Q12933	P08238	605
Q12933	P21333	606
Q12933	Q14164	607
Q12933	P45983	608
Q12933	Q14790	609
Q12933	O43318	610
Q12933	O15111	611
Q12933	P63261	612
Q12933	Q00610	613
Q12933	Q9Y4K3	614
Q12933	Q13748	615
Q12933	P0CG48	616
Q12933	P05141	617
Q12933	Q13546	618
Q12933	P07900	619
Q12933	P27708	620
Q12933	P53779	621
Q12933	P38646	622
Q12933	Q05639	623
Q12933	P11142	624
Q12933	P45984	625
Q12933	P11021	626
Q12933	P62158	627
Q12933	P34931	628
Q12933	Q13114	629
Q12933	Q9Y297	630
Q9Y297	P25963	630
Q12933	Q9UKB1	631
Q12933	Q15628	632
Q12933	Q9UHD2	633
Q12933	P01375	634
Q12933	Q13077	635
Q12933	O43353	636
O43353	Q9Y6K9	636
Q12933	O00463	637
Q12933	Q9NYJ8	638
Q12933	P21580	639
Q12933	Q7Z434	640
Q12933	Q9UDY8	641
Q12933	Q92844	642
Q12933	Q13490	643
Q13490	Q9Y6K9	643
Q12933	P09874	644
Q12933	Q92851	645
Q92851	Q9Y6K9	645
Q12933	Q9Y6Q6	646
Q12933	Q8TEL6	647
Q8TEL6	Q9Y6K9	647
Q12933	Q16584	648
Q16584	O14920	648
Q15628	O14920	649
Q15628	P25963	650
Q9UHD2	O14920	651
Q9UHD2	P25963	652
P51617	O14920	653
P42680	P27986	654
P42680	P19174	655
P42680	Q99704	656
P42680	P15498	657
Q13077	P27986	658
Q13077	P12931	659
Q13077	Q07021	660
Q13077	P04350	661
Q13077	P07437	662
Q13077	Q00653	663
