#node1	node2
P16520	Q00975
P01106	Q9NPB8
O95298	Q86Y39
Q7Z2G1	Q9BTM1
P11215	P61224
P25788	Q00653
Q8NEU8	Q9UL26
P05771	Q3MJ16
Q14683	Q8IYB3
O75643	P14678
O75365	Q13257
P11161	P56693
P22736	Q92831
P15018	Q13261
P40939	P60520
Q15172	Q8WXS5
P42345	P48736
P05231	P16471
P06730	Q9HBH9
724029	P28799
P18564	Q14315
P41240	P49023
P78386	Q6IBS0
P17612	Q92806
Q96G25	Q9BWU1
Q13535	Q9NTI5
P82914	Q14197
P12882	P60709
P01106	P38936
P05771	P26010
Q8N122	Q9Y478
O75159	P00533
O60674	P00519
P26006	Q13753
P04275	P53708
P25054	Q8IVL1
Q16539	Q9UK08
P49207	P62829
P01889	P42771
P39656	P62330
Q14197	Q5T160
Q15365	Q8WVV9
P84022	Q9UM63
O95837	P25103
P30480	Q9Y295
P08670	Q9Y6K9
O95467	O95622
P05026	P27986
O95343	P48431
P32298	P51681
O95251	Q9P2R6
P27816	Q8TDR0
Q02641	Q16537
P05141	Q15628
O60934	Q09472
P63104	Q86W92
P01111	Q01201
P05204	Q9UGN5
P53778	Q16644
Q99497	Q9UBT2
P06241	P62993
P20073	P62879
P18564	P49023
P31942	P50995
Q13535	Q9UIF9
Q14839	Q8IZH2
P60709	Q13155
P31994	P43405
P01116	P06756
O60641	P16220
P41220	Q86VX9
O43583	Q9ULC4
P49682	Q99616
P10914	Q9BTT4
P30154	Q06190
P04201	Q13424
P22694	Q09472
P00738	P02647
P28482	Q9BZM1
P04183	Q15784
P60763	Q92608
P18146	Q96NL0
P48357	Q13526
P04070	P04183
Q15047	Q99447
P42702	Q06124
P46783	P62241
Q13885	Q6PEY2
Q15554	Q96AP0
P23511	Q92624
O75367	Q9UMX1
Q06323	Q13352
P13631	Q9UKP3
Q14185	Q92730
O15357	P29353
Q05655	Q9Y4H2
P07333	Q92569
Q13838	Q99459
P56537	Q9HAV7
Q15334	Q9GZQ8
O75554	P23246
P21266	Q99962
P05556	P13612
P51681	P80098
P04233	P28068
P01374	Q92956
P42768	P60709
P04049	P17612
P61201	Q9UK53
P25440	P68133
P19838	Q13464
P14921	P50613
P16035	P61289
P49675	Q92793
P49959	Q9H816
O75688	Q9Y6K9
P63092	Q9UP65
Q16543	Q9HC98
343477	Q9BRP4
Q13651	Q16619
P23246	Q13077
P63151	Q8WXS5
P00736	P02746
P62841	P62857
Q9HBW0	Q9UK08
O60739	O75821
P61513	Q9UKV8
O75899	P50151
P43686	Q06323
P01160	Q9NRR5
P40429	Q8NBJ4
P62249	Q9Y5S9
P29992	P61073
O00585	O00590
P11831	P18146
P04070	P05154
P16298	P62158
P45983	Q9Y4K3
P18146	Q9Y5B9
P05161	P42224
P15153	Q7Z5H3
P25788	Q92956
Q13547	Q6W2J9
O95319	Q15365
P19525	P56537
P17676	P42226
O95232	P61981
P45984	Q15427
Q5UIP0	Q9UN74
Q14344	Q99500
P24385	P51692
P19012	Q8IYI6
P07355	P14209
P62140	Q13224
P22455	Q92569
O75832	P62195
P31751	Q9UKX3
Q92574	Q9Y478
O00329	P10721
A5YKK6	Q9HC52
Q14498	Q8N5F7
P22612	Q8TD86
O75578	P50552
Q15672	Q92831
Q15008	Q9Y478
P46940	Q05823
O95452	P29033
Q5UIP0	Q99459
Q03135	Q9H1Q7
P31943	Q15427
P05387	Q9UQ80
O60729	Q9H1A4
O43597	Q8IWV7
O00755	O14904
P60981	Q9UKE5
O14874	P12694
P11137	Q9P0L2
O95967	Q9NRQ2
Q07889	Q5TCZ1
Q7Z6J6	Q8IXH7
O00329	Q86YM7
P14625	P38646
P09486	P21980
O60266	O95467
Q07890	Q9UJF2
Q01105	Q14164
P57087	Q05655
O43497	Q12879
P42345	Q6R327
P15509	Q9HBE4
P19338	P35579
P52564	Q00722
P27986	P42684
Q7Z401	Q9NPI1
Q99961	Q99963
Q14164	Q15046
P04637	P08581
P48023	Q13158
P26038	P32942
Q15424	Q96SB4
P15880	P62266
P62256	Q8NA82
P51668	Q9NZQ3
O75569	Q9NPJ3
O60925	Q8WUW1
P35968	Q96J02
P02458	P07585
O75604	Q96ED9
P53350	Q13315
P28749	P84022
P53355	Q13164
Q8TB72	Q9ULK4
O43513	Q9NWA0
P51817	Q14432
O60861	Q5T5U3
Q13748	Q96NA2
P02768	Q8TDN4
P16220	Q8N752
P13232	Q99062
O75369	P17301
P26012	P35442
P02776	P10124
P24522	Q04724
O00422	O75964
O95373	P20333
P00519	Q08209
P01241	P40238
P06748	Q99459
P06753	P08238
P42765	Q12983
Q05469	Q9UGI9
Q13424	Q9UKP5
Q12996	Q16630
Q9H2M9	Q9Y2Q3
Q14451	Q15047
343477	O75815
O75182	P48382
P63211	Q13936
O95863	Q9H0J4
O75448	Q15797
Q9UKX5	Q9Y4G6
O00231	P84022
P27986	Q12959
Q15714	Q96S59
P04150	P12544
P10599	P11171
P46527	Q969H0
P00747	P01024
P62633	P83731
P11137	P62993
O15381	Q9NPF4
Q96DB2	Q99877
P16885	Q8TD86
P52630	P63244
P20265	P23760
O14625	Q00653
P78369	Q8N7P3
A8TX70	P05106
O00255	P35244
Q15303	Q8WWG1
P42702	Q8IZI9
P61073	Q9Y258
Q5VWQ8	Q99961
Q15717	Q92945
P62906	Q99558
P35609	Q13627
P29400	P31431
406949	P10415
407021	P08572
P31994	Q9Y6Q6
O43182	Q07889
Q14677	Q9H492
P24941	Q9UJX4
P17081	Q7Z6B7
Q12972	Q13263
P04435	P09693
P21333	Q13233
P19838	Q13158
P00533	Q9UKG1
P08134	Q9Y3M8
Q9NW08	Q9Y250
P51668	Q969V5
P31943	Q92597
P62750	P62888
P10721	P31371
P08047	P25490
P21802	P35568
P06213	Q16827
P07900	P19784
P14625	Q13573
P62854	Q969E8
Q9UD71	Q9Y2H0
O00716	O94805
P17301	Q99828
P15498	P50570
P08047	P28370
P68366	Q8NDZ2
P61952	Q96PN6
Q13555	Q14934
P30480	P61086
P53778	Q8N5C8
P49810	Q9HBG4
P48736	Q05397
P62158	Q9NYJ8
P62807	Q9UBL3
P08514	P16871
P26232	Q08043
P08100	P11488
O14964	Q8N6Y0
P62979	Q16236
Q9BTP7	Q9HB96
O95813	Q9H1J5
P22392	P62745
P40189	Q8WXH5
O95622	P27482
P06756	Q16363
P48357	Q9GZX6
Q14790	Q9GZQ8
Q02045	Q13464
P13569	Q14517
A4D2G3	P35626
P06753	Q9UET6
P06899	Q96QV6
O15400	P46459
O95837	P25116
P01876	P35527
P07202	Q01344
P04908	P62807
P10242	Q13813
Q04206	Q07020
P10242	P42229
O14512	Q13261
O14920	Q00839
P34995	P50148
Q15796	Q9Y3F4
O95619	Q9NV56
O75175	Q9NZN8
P07550	Q13639
P61254	P62633
P62330	Q9BXR0
P11021	Q99759
Q9BX70	Q9H0C5
P16619	P51677
P19438	P51571
P24043	Q14118
P39023	P62993
O00212	Q9P286
P16333	Q9P1A6
O43541	Q96FA3
P16220	Q6SA08
P19174	P54252
P04626	P40189
O15260	O75365
P49888	Q13432
Q01196	Q99607
O75581	P98082
A6ND36	P27348
P62495	Q13573
P25208	Q99618
P36896	P55103
P18031	Q16620
Q86WJ1	Q9UGN5
P27348	Q99759
P49023	Q14289
P08670	P55211
P10721	P62993
Q06330	Q13363
Q07343	Q13554
O75351	Q9NP79
P61289	Q16401
P60953	Q15286
Q13177	Q13263
P14373	P61077
O75391	O95870
P53778	Q9UK08
Q99878	Q9UKV0
P10914	Q9HBE5
P53621	Q02978
P05556	Q9Y6C2
P55735	Q9NYJ8
Q13642	Q9Y478
O00206	P08754
P01106	P62191
P50613	P51946
P63000	Q9NQU5
Q14197	Q8IVS2
Q13485	Q13501
O00764	P63104
P0CG48	Q9BXM7
P04150	P42229
Q92561	Q96JG8
P63000	Q9NZQ3
Q9NV56	Q9Y230
P01106	Q13459
P51817	Q07699
O75116	P62136
Q9NXR8	Q9UBU8
Q09472	Q8TEY5
P41182	Q99835
O60318	Q6P1J9
P01100	Q00978
P16885	Q96KM6
Q96PN6	Q9HAV0
P63151	Q9UBN1
P08069	Q9HCT0
P24522	Q92922
Q2TBC4	Q92997
P46108	Q92569
O95997	Q9UJX4
O14745	P23508
P59768	Q9UBY5
O95872	Q9H0R3
Q12846	Q8NFX7
P62841	P63220
P27348	P42345
O95471	P78369
P15036	Q9NR96
O14893	Q01130
P62987	Q02878
Q5VWK5	Q9NPF7
Q13148	Q99459
O00255	Q9BXW9
Q8N2H9	Q99558
Q12824	Q8TAQ2
P62269	P62854
Q92530	Q96C03
P52306	P62834
O94805	P51532
P35626	Q8NGV0
P35268	Q96BK5
P14618	P17612
P16234	P49765
Q8NBJ4	Q9BQ52
P22612	P54619
P04062	P21281
P20290	Q13177
P14209	Q9UMX0
P29400	P56199
A6NDB9	Q6IA17
P19174	P42680
O15399	Q13936
P01106	Q13496
Q01094	Q09028
406979	Q8WY64
O60262	P41586
O00308	Q9Y3C5
P56748	Q07157
O75578	Q13753
Q8IU85	Q9NZT1
O95644	P05112
Q8NEM0	Q9NYB0
P10144	P12956
P62714	Q15759
P0CG48	P25098
O43914	Q14954
P60709	Q9Y230
P28482	P62993
Q8IVF5	Q92890
O14905	O60353
Q02878	Q9UL18
Q8IXI1	Q96QB1
Q6SZW1	Q96A33
O60739	Q9NX55
Q13557	Q9BXT2
P58546	Q9H8T0
P49368	Q00005
O95295	Q6QNY1
P16144	P56199
P05771	Q9ULU4
O43933	Q7Z412
O95793	Q02878
P05787	Q9H0R6
P20020	P51817
O95229	Q8NBT2
P49591	Q13315
P01116	P04899
O94875	P42684
Q16539	Q6IN85
O43306	P27482
O60493	P06241
P19878	Q9Y5S8
O00231	P51681
P02776	P61073
P35268	Q07020
P01308	P11362
P01106	Q14CX7
P01106	Q8N1G2
P30519	Q5UIP0
P35270	P63104
Q92831	Q9Y4A5
P40429	P63173
Q09472	Q16566
P63104	Q02878
Q14469	Q9BTP7
O43255	Q9Y6H5
P62241	P62753
P10244	P78396
Q14192	Q9NP73
P60842	Q14240
O75956	Q9NZJ5
P21246	Q9UBS4
P18146	Q9BYX2
P30153	Q15172
P10301	P55196
Q92922	Q99459
P45984	P61586
Q99459	Q9UBP9
P09619	P46109
O43353	P21796
P48736	Q12933
P10275	P38398
P60568	Q99665
Q13485	Q99717
C9J798	P01112
Q05397	Q8WYR1
P07948	P29350
P56703	Q9UEF7
O14981	P01106
P62837	Q9Y675
Q99062	Q9UBD9
P46527	P63208
P07949	Q00987
P22612	P54284
Q08999	Q92543
P17542	Q9C0K0
O95685	Q9Y243
Q9BQY4	Q9NWB1
P42704	P43360
Q6SZW1	Q86UT6
P62136	Q13976
P10809	Q9UL18
P01106	P52630
O95866	P29350
P19388	Q9NWA0
P52272	Q16629
P40429	P49207
O00257	Q99496
O60504	P61978
P40938	Q13315
P28472	Q9NQX3
P08069	P19086
Q13573	Q9UKV3
P01241	P16471
O95402	P19388
P01308	Q15418
Q13748	Q8IUQ4
P55212	Q13489
O96000	P03905
P43364	Q96AJ1
O15061	Q9Y4J8
P16885	P35968
P51668	Q9BY78
A5PKW4	Q8WVB3
P45983	Q12904
O15355	P09012
P24522	Q96GM5
Q13387	Q13625
P31947	P49815
P18850	Q13952
O60895	O95467
O43707	P53708
C9J798	P01111
P10721	Q92569
P61077	Q96DX4
O43516	P68032
P17181	Q9NPH9
P54619	Q92574
P41208	Q01831
P31995	Q8NHL6
P35626	Q8NGE0
Q15834	Q9BRK4
Q8N257	Q93077
Q8N3U4	Q8WVM7
P55786	Q9Y478
Q13077	Q14790
Q04323	Q9NVP2
O43524	Q08050
O00305	Q12816
Q15303	Q9Y371
P51681	Q92583
P49768	Q9NQB0
P25942	Q9NYJ8
P55854	Q99666
Q9UMR2	Q9Y2U9
P04626	Q7Z6G8
P27986	Q96Q35
Q92630	Q9Y2V2
P22392	Q12802
