#node1	node2
554213	Q00534
P50151	Q08828
P15923	Q9Y230
Q00653	Q07325
P01571	P40189
Q969Z0	Q9NYA4
P15884	Q13761
O75084	P09471
O94806	Q86YW0
P81172	Q9NP59
P05997	P17301
P58107	Q9H173
P46109	Q9HB21
O15379	Q06330
Q02763	Q9NQ66
Q5T5P2	Q8IYF3
P61254	P62424
Q05655	Q8WYR1
P46060	Q9Y4K3
P01106	Q05516
Q15013	Q96ID5
Q03164	Q93034
P08700	Q99062
P06899	Q92630
P16220	Q03060
O95059	P51513
Q92481	Q93077
P06729	P09326
P50479	Q15654
P04183	P55084
O75578	P50552
P16333	P78357
Q9NZI8	Q9Y297
P32456	P55957
P62136	Q7Z3S7
P0DJD1	P63165
P01243	Q15691
O15111	Q9Y4H2
O60832	Q16659
P58753	Q9Y4K3
P63151	Q08289
O43251	Q15459
O60739	Q9Y266
P09455	Q16576
P17676	Q12778
P18146	Q92793
O75604	P0CG48
407008	P17947
P04439	P43632
P36873	P46937
P08631	Q05397
Q13332	Q9P2H0
Q01130	Q15428
O00418	P17252
O00220	P04637
Q9NZH5	Q9UJX2
P08107	Q00597
P84022	Q05516
P49768	Q9UMX0
Q13418	Q9HBI1
P08575	P08631
Q8WYR1	Q9H1C0
O95402	P36954
P01100	Q99576
P50453	Q9NPI1
P17948	P52803
P23945	P32298
P05387	P49207
O43306	P09471
P08648	Q07889
P01571	Q99650
P19429	P22694
Q13547	Q15047
O14964	P84022
Q13557	Q8WXS5
P56524	P58876
O43175	Q99459
O60840	P59768
P30443	Q14952
O94992	P50750
P01106	P61024
O76000	P35626
Q13571	Q96GG9
P13637	P27361
P00519	Q9UPY6
P48023	Q09472
P05106	P20908
O75469	P41235
Q13535	Q9BWU0
P31751	Q99683
Q15418	Q9Y2V2
P49585	Q99759
Q3YEC7	Q99750
P10398	Q07890
Q00653	Q8IZI9
P35626	Q8NGS8
P55854	Q13129
Q9GZQ8	Q9H7U1
P08567	Q14642
Q13127	Q8TAQ2
O14604	Q01844
Q16665	Q92793
P28482	Q15121
O95644	P53778
P35354	P45984
P07942	Q9NZC7
P01241	P42702
P84022	Q8TF09
O43809	P05386
Q8TES7	Q9NWT6
P19438	Q13501
P21860	Q9NR46
P84095	Q96JJ3
P48552	Q92753
724027	P11717
P07942	P26006
P98170	Q9Y5V3
Q12933	Q8N9N5
P07437	Q13409
O14512	P26992
P51686	Q9NRJ3
O96019	Q9H981
Q13243	Q15287
Q01968	Q92805
Q16739	Q16799
P63279	Q9NSC2
O43295	Q9HCK4
Q2M3C7	Q9NYA1
P00519	P12956
P19876	P49238
P46531	Q9NR61
P16591	P21860
Q13547	Q9BTM1
P82932	Q14197
P45983	Q8WXG6
P07949	Q9H4P4
P56880	Q8N7P3
O75365	P08195
Q8TB52	Q9HCE7
P35626	Q8NGF4
O14908	P17643
Q09013	Q13526
O60503	P17252
P02776	P51686
P08754	P61952
Q9BVJ7	Q9UBC3
P51817	Q9NZT1
O75143	Q9BSB4
Q13439	Q9NV70
O14641	P05771
P22307	P42765
P22362	P25025
P63027	Q13277
P62258	Q9UQC2
Q7L190	Q99962
Q13765	Q96ID5
P38432	Q13895
O15551	P57739
O95467	Q16602
P43489	Q12933
P12004	Q07864
P51665	P62191
Q99759	Q99832
P62330	Q9H993
O75460	Q12933
P12270	P35658
Q6VMQ6	Q9UPN3
O43741	O60825
P50570	P54252
O00303	P55884
O95182	P51970
O95319	P41238
P35228	Q9NZT1
P05107	Q99418
P09471	P17612
P29084	Q08050
P49005	P62312
O75592	P49815
P15170	P98170
Q7L0Q8	Q96BY6
P12270	Q8TEM1
O14807	Q9NS23
P22301	Q8N6P7
P33992	Q13415
Q14683	Q8IYB3
P32121	Q9UKL2
P49023	P61586
O14640	O75474
P32246	P51671
P01106	P14316
P00533	P24385
Q12834	Q9BYQ3
O14733	Q13387
P13945	P49407
P22626	P26368
O15520	Q15475
P10398	Q12805
P58107	Q9Y2Q3
Q13435	Q6P2Q9
P04085	P18146
P35226	P62805
Q96Q83	Q9NV56
O14920	O95163
P14416	Q96SB3
P10144	P14222
Q13042	Q9NZH5
O43561	P02768
O95785	Q15714
P17948	P31371
Q09472	Q13555
O60828	P68104
P61073	Q05397
P04439	P30457
O95400	Q96DI7
P46778	P62913
P01116	Q9P212
P01570	Q99665
P09471	Q15147
Q96P20	Q9H3M7
P62495	Q99459
P05230	P08138
P52735	Q16620
O60262	P22612
P38405	Q8NG83
P29972	Q6UY14
P46778	P63173
Q04206	Q8WUF5
O75446	Q09028
P31321	Q05469
P02461	P08514
P51828	Q13554
O75084	P56704
Q99684	Q9Y6X2
P62195	Q06323
P46459	Q9BWH2
O00505	Q13255
P63146	Q9GZS3
O00161	O76038
P05771	P19878
P11511	P21281
P82912	Q14197
Q8TEM1	Q96EE3
Q04726	Q92597
Q8NEU8	Q9HCB6
P13637	Q9Y3U8
Q9BUA6	Q9P2M7
Q86YM7	Q9BYB0
P04792	P19838
P33241	Q9NNX6
Q9HC98	Q9Y230
Q08397	Q9UBX5
P56199	Q16787
P05386	P62899
P60520	Q8NI08
O15111	Q04759
P17081	Q96N67
P01889	P20618
P51693	Q96GM8
Q13705	Q96S42
O15264	P42166
P18146	Q16587
P30679	P41220
P05019	P42336
P01579	P42701
P12980	P62805
Q92997	Q96EB6
P15509	Q8IZI9
P60709	Q13155
P62314	P62316
P33991	P33993
P06239	Q86WV1
P62241	P62258
O95352	Q9NT62
Q6PEY2	Q8NCM8
P62633	Q9NRW3
P53350	Q14168
O95415	P46977
P00751	P27918
Q00325	Q96HA7
P07858	P78556
Q15323	Q6IBS0
P17181	P48551
P48736	Q9UDV7
P22888	Q8IZE3
P50591	Q92851
Q9HCK5	Q9NXS2
Q71F56	Q9NWA0
O43918	P46108
P60520	Q86SG6
Q12873	Q96C92
P46783	Q9Y6K9
Q9UNS2	Q9Y4E8
Q6UWE0	Q9UIF7
407018	O00628
Q9Y6K9	Q9Y6Q9
P20290	P22466
406981	Q8WY64
P42229	Q06124
Q14194	Q9UKV5
P22362	P46094
P01106	P23246
P21333	Q07157
P0CG48	Q15717
P62136	Q96KQ4
P19532	P49321
P25963	P78527
P84022	Q8NG27
O14733	P15153
O00231	Q04724
O95751	P15407
P17844	Q07666
O95299	P03923
P12004	Q149N8
Q8NFH5	Q96EE3
P51679	P63096
P17252	Q9BVC4
P15498	P43403
P15018	P26992
P23443	Q53EL6
P63165	Q8NCR3
P50222	Q9Y512
Q15303	Q99961
Q14814	Q16539
P18621	Q92901
Q9NRX1	Q9Y4K3
O94805	Q8NFD5
Q9H2X3	Q9NZN5
P01562	P40238
P27797	Q16659
P41235	Q9UK32
407043	P00533
O43684	Q16186
P29350	Q9Y4K3
O75581	Q8N752
Q06609	Q9UI08
O75581	Q9Y4X0
Q00987	Q13315
P08581	Q15389
P10145	P22894
P10398	Q16539
O75716	Q6P2I7
O14641	Q8N5R6
Q99759	Q9H1R3
P17612	Q13224
P15927	Q9NWQ8
P13569	P13987
O14641	P26368
Q13315	Q9Y333
P60763	Q9BYG4
P21781	P35916
P22612	Q93100
O95886	P19174
P01111	P22455
P09104	P68366
Q13485	Q9NPI6
O60503	O95398
Q13145	Q9UP38
P03372	Q14258
P04626	Q14289
P40692	Q9Y253
P0CG47	Q07889
P61006	Q86TI0
P05106	Q05397
P55040	Q9NR12
P10599	Q92905
Q14919	Q9UNY4
P15260	P40225
P01588	P78552
P56746	Q8N7P3
P02787	P07711
O43741	P13807
Q6P2C8	Q9BWU1
P52198	Q53QZ3
Q7L523	Q8N122
O43561	P27986
P12755	P12757
P63104	Q02790
P49137	Q16539
P62158	Q9UM54
P52435	P53803
Q8IWX8	Q8NAV1
Q13285	Q9H2G2
P06241	P42768
P48549	Q9UBI6
Q9HB96	Q9NW38
O14625	P25025
O00141	Q13164
P40692	Q9UQ84
O43278	Q96IP4
P29353	Q13905
Q15831	Q96A54
A6NL08	P32121
P04632	P11802
P04439	Q14954
O75352	Q9H0J4
Q92793	Q9Y6X2
P63211	Q13936
O75448	P41235
5512	O95685
O14893	Q15287
P98164	Q92796
P51531	Q92922
O00591	O95166
Q15942	Q9H4A3
P05013	P40238
P36578	P61254
P19387	Q8IXH7
Q14457	Q9H4I3
O60880	Q9HBG7
P00533	Q8NFM7
P26012	P46109
P30153	P56537
O75581	P56704
P63000	Q9NQG7
Q13535	Q9H4A3
Q13616	Q9UKT4
P28702	Q9NPJ6
P18031	P49023
Q14790	Q8WUI4
P38936	Q13098
P26373	P62913
P61978	Q15287
P01106	Q16514
P16885	Q9UKW4
P63279	Q9ULV8
P13500	P25025
P01889	P28331
Q13424	Q14524
O95163	Q9UBS4
Q969K3	Q96EY1
P50452	Q01518
Q96BQ3	Q9Y2X8
P98160	Q14118
P41743	Q4KWH8
P53621	Q9UL18
P01242	P48357
P41223	Q8WYA6
O14561	O75251
P20333	Q16531
Q969X5	Q9Y282
O00292	P61812
P28749	Q9HC98
P04075	P63104
O43677	P03901
P63104	Q8WYL5
O43143	P19387
P04628	Q9H237
Q86YW0	Q9NRD5
P05388	P62888
P04049	Q9H4B4
Q9Y3C5	Q9Y679
P01588	P01589
P06213	Q14449
P01137	P58166
Q9HAU4	Q9NZU5
P01375	Q04206
Q8IUQ4	Q9ULH7
P60602	Q13158
O00459	P15391
O00255	Q15291
Q13651	Q9NYY1
O14818	P17861
O96000	Q9UI09
P35916	Q9GZV9
Q92900	Q96CS7
Q92835	Q99704
Q9NSI5	Q9Y624
Q9BU76	Q9NVV9
P26010	Q63HR2
Q14192	Q15311
P62805	Q9Y468
P13533	Q9NRG4
Q13535	Q8WXI9
P07333	P49715
P05787	Q07889
P19447	Q01094
P51693	Q99547
P19012	Q6ZU52
P05556	P42336
Q14457	Q9Y371
O43809	P56182
P17540	Q13432
O95786	Q14653
P33993	Q9BRX2
P01579	Q14627
P54132	Q13156
P19012	Q96ES7
P21673	Q8TBB1
P60953	Q86VI3
P04278	P15309
P05013	P52333
P11233	Q07890
Q96A08	Q96KK5
P62834	Q8TEU7
100008589	O95602
P01106	Q14126
P40337	Q15286
O60934	Q14676
P12931	P38570
P62826	P68104
P62701	Q00653
P32121	Q8NGG7
P01243	P43487
P01106	P50151
P25054	Q8NEY1
P49716	Q16520
P05113	P42701
Q58FF6	Q9Y243
O43237	Q6PEY2
P20645	Q9UJY5
Q13418	Q13573
P40763	P63000
Q14197	Q96GC5
O14493	Q8N6F1
P08047	P08910
P55769	Q5UIP0
O43915	P16234
P52306	Q9Y4E5
P07711	P13637
Q13554	Q68CJ9
O75925	Q92731
Q08881	Q13485
P51805	Q13387
Q14160	Q9Y2X7
A8TX70	P18084
P22694	P25963
P46527	Q9Y243
Q00839	Q01130
P21246	Q9NPJ1
P26367	Q02962
P11142	P25685
Q13769	Q96NB3
Q15047	Q8WUB8
P29692	Q9UET6
O15264	Q66LE6
Q05397	Q9H3S7
Q9HBW0	Q9P2W3
P08195	P17931
P20292	P49716
P18146	Q9Y2Y6
Q01201	Q86X55
P09038	P35968
P61160	P62993
P19012	Q9P2A4
Q86Z14	Q9NSA1
O43915	Q02763
Q13547	Q5QNW6
Q15428	Q15459
P08253	P16035
Q96SN8	Q9H213
O43586	P18031
P13236	P46092
P42702	Q9NPF7
O60641	Q9BYC9
P24278	P38432
Q969Y2	Q9NP50
P38936	Q7L5D6
P47898	P50150
P06241	Q13023
Q8WXH5	Q9HC73
Q13042	Q9NYG5
O15105	Q9NR48
P35626	Q8NH40
P35609	P68366
P60953	Q9UM54
Q6IBS0	Q9BY76
P54646	Q16822
P05112	P18146
P62993	Q9NYF8
P98170	Q13490
O75663	Q8IY92
P11215	P51617
P50570	Q9NZW5
P08047	P45983
P02774	P98164
O43306	P84996
P54253	Q9H869
P51843	P61201
P16104	Q14676
P04844	P62330
P63279	Q7Z333
P01133	P22455
P42224	P52630
O00757	P61106
P43146	Q6UXZ4
Q13158	Q9H1Y0
O00305	Q969Q6
P61586	Q02156
P38405	Q8NGK6
Q15366	Q9BQA1
O95405	P30153
Q8N6T3	Q9GZQ8
O43707	P63104
P52565	P60953
P06493	Q9Y5T5
P15036	P25054
Q13129	Q99578
O14836	Q9Y275
P08670	Q9BZW7
O75369	P23229
P19174	P27986
P48643	Q14164
P33778	Q969S8
P53803	Q9NVU0
P04637	P36873
Q16539	Q8N5C8
P22301	Q13018
P35520	Q9NP79
P62917	Q02543
Q6DRA6	Q9P0U4
Q8WYR1	Q92633
P05106	Q13797
P17813	P18146
O95178	Q9Y6M9
P20333	Q9H1R3
Q16891	Q9Y512
O95400	Q96DG6
O14980	P62826
P60953	Q99683
P04049	P41743
P05787	Q16695
P06401	Q12778
Q02763	Q92729
P08238	Q9UKG9
P16333	P22681
P11245	P41227
O43295	P63000
O00762	P09104
P16144	P21333
P67870	Q15811
P15170	Q99683
P63104	Q07866
Q9H4K1	Q9Y6D9
O60291	Q9NPD8
P21860	Q15303
P26442	Q96B02
O75030	P01137
P98177	Q13043
407046	P04198
O00220	Q6GQQ9
P40225	Q01113
Q99942	Q9Y2X8
Q86XR7	Q9Y4K3
P01106	P42679
P19838	Q99836
Q13315	Q6UXV1
P15151	Q9NQS3
O60840	P51817
P12235	Q14197
P60660	P63267
P04844	Q75N90
Q86XS8	Q99250
P29317	P35222
Q13216	Q92905
O75376	P01584
P08581	P63104
P07478	P25116
P16298	P63098
P36897	Q9UNE7
O00505	P07910
P40227	P67775
O00755	Q01974
P19174	P43405
P48039	P62879
Q99878	Q9UKV0
P25963	Q99759
P10415	P17655
Q16659	Q8TAM1
Q14181	Q9BTY7
P07996	P23229
P01106	Q9HAV7
P07996	P09486
Q14192	Q9UBZ9
P40337	P61077
P40337	Q92830
P19838	Q92851
Q03164	Q9UHB7
P16473	P27986
P05783	Q16539
P31751	Q92945
P23527	Q93077
Q99848	Q9UKV8
P60520	Q9C0C9
406947	O43524
P13232	Q8IU57
P22392	Q01105
P06400	Q92769
P10912	Q13952
P07947	P16591
O43187	Q9Y616
P18621	P62750
P18847	P35638
P16581	P49023
P01568	P08887
P24530	Q03113
P00533	P06576
P09661	Q99459
P39023	P84022
P19438	P23458
P62745	Q13009
O00329	P12931
P10275	Q16666
Q13472	Q92793
P10828	P55345
406882	P52926
O43390	P00519
P01570	P78552
P32121	Q8NGS4
P55957	Q9HD36
P56524	Q5QNW6
Q676U5	Q9HC29
P38405	Q8NGV6
Q96NT1	Q9Y383
Q15465	Q96QV1
O00574	Q9Y4X3
P29033	Q03135
Q13131	Q49AN0
P0CG47	Q15628
P12757	Q14112
Q99729	Q9H3D4
P07951	P68032
O15264	P23396
P62913	Q9Y4A5
Q9HAV7	Q9Y478
406906	O95644
Q13315	Q9UFC0
O75116	Q96A32
P62891	Q02878
O14593	P25774
P62241	Q07021
P43360	Q9H993
P25054	Q9Y613
Q12933	Q9GZU2
Q8TES7	Q96CN9
Q8N6F1	Q8NI35
O95343	O95475
P46109	Q9ULH0
O14543	P48357
P35609	Q16512
P16144	Q14315
O15062	Q11203
P38405	Q8NGE9
P30153	P62955
Q9UI95	Q9UJX5
P60842	P62993
Q13315	Q7Z417
P04637	Q9UBU8
O43318	O43541
O43556	Q16585
406995	Q13315
Q13107	Q16637
Q7RTN6	Q9Y376
P26992	P60568
Q8WUM4	Q96EY5
Q9BQ75	Q9Y2Q3
P01106	P28340
P15382	P56696
P08173	Q05639
P40189	P42224
P06241	P06729
O75084	P09544
P05019	P27361
P53708	Q16363
Q08380	Q15628
Q12933	Q9Y286
P09341	P32302
P23246	P35637
O00217	P17568
P58876	Q92769
Q15365	Q9Y2Q3
P49773	Q14134
P41240	Q9C0H9
P67936	Q15654
Q92622	Q99570
P61586	Q9P107
P11021	Q30201
P38405	Q8NGQ6
P16471	P29460
P08138	P23560
P52701	Q13535
P08865	P60709
P62140	Q13936
P01133	P10721
P53582	Q96T58
O43765	P46379
O14561	O95169
P51149	Q14164
P52294	Q01201
Q8TAM1	Q92765
P24394	Q8IZI9
P43307	P68104
P48549	Q9P2W3
Q99996	Q9BSJ2
Q16637	Q9H840
P39023	P62891
Q13315	Q8IZ21
P0C7T3	P35626
P04626	P42338
Q9Y5J5	Q9Y5L0
Q14192	Q9H173
P41091	Q14232
407027	O15226
Q6IA69	Q96JP2
Q14974	Q9UH99
P12004	Q15819
P05067	Q9Y5Z0
P0C0S5	P62807
P38936	Q9BVA1
O60907	Q8IUQ4
Q13535	Q86VX9
P46734	P62834
P06753	P68032
P16220	Q8WWB5
O60232	Q99873
Q9BX69	Q9Y2G2
P43146	Q9UI10
Q13838	Q9H2X6
P19429	Q15172
P29966	Q9UFF9
Q9NRH1	Q9P2H0
P04637	P30307
P25445	Q9H3D4
P01106	Q9Y2I8
P04156	Q13642
Q7L5N1	Q9GZN7
P38405	Q6IF63
145624	Q14344
O14640	Q9NR80
P42704	P63104
P30153	Q9UF02
P13569	P34925
P51955	Q9BQ70
P10275	Q9Y675
O60506	Q14164
P05019	Q02763
P62424	Q00005
P04181	Q8N357
Q15569	Q9C004
P01889	P43307
P84090	Q92905
O60671	P20226
P49917	Q15233
O75914	P53667
Q9NXR8	Q9Y230
P25101	P50148
Q08209	Q99828
P60763	Q8N1I0
P56537	Q14181
O43684	Q13042
P05113	P15509
P52294	Q16778
P41220	P50148
P40337	P61513
P08047	Q04206
Q99459	Q9UBS0
P15884	Q9UPN9
P21673	Q96F10
P16220	P22732
O14775	P28222
P12757	Q14515
O00459	P01116
O43474	Q13363
P45983	P59768
P21675	Q08999
P32121	Q8NGR1
P06733	P49023
Q16778	Q96KK5
P05015	Q00653
O15169	P49815
P25490	Q9H981
P51116	Q7Z7J5
Q16623	Q9H270
P18146	Q6ZMY3
Q8N668	Q9GZQ3
P02765	P62993
P48507	Q16236
P00533	P51636
P68104	Q9HAV4
O60896	O95467
Q9BRT8	Q9P003
Q5T9A4	Q9BUV8
P28065	Q9Y244
Q9UHA3	Q9UJW3
P35609	Q13224
P61981	Q9P2M7
Q13573	Q7L014
P08574	P99999
P0CG48	Q14191
P08670	Q99459
O95149	Q6ZN04
O15264	P60842
Q07955	Q13315
O95267	Q68DD2
P06241	P10301
P04156	P49639
P31749	Q9Y5P8
P01106	Q8TCU6
P62877	Q13619
O00418	P06493
P09619	P46108
P38405	Q8NGY9
P06756	P26010
P04792	Q9Y3C7
P30101	P40763
P05164	P49715
O60312	Q13315
P60228	Q59EK9
P16520	Q99677
Q9NTJ3	Q9Y6K9
P16144	Q01955
P20701	P61224
406991	O14727
O15524	P30530
O94868	P55822
P05129	P51828
Q8N655	Q96KQ7
P53779	P61812
P01127	P08581
O00459	P50150
P01100	Q16659
P27361	P46734
Q15047	Q9P2D1
P18615	Q8IXH7
Q07817	Q9BXH1
Q13797	Q9NVD7
P18206	P26368
P15498	P16333
Q14449	Q99558
Q15628	Q9NVI7
P19338	Q13233
O14544	P19235
O15519	P49411
P26992	P32881
P24534	P30480
P40189	Q8IZJ0
O43395	P55081
P07900	P67870
P35609	P48552
P10828	Q9NPJ6
P00491	P04637
Q13510	Q15047
P48551	Q8IZI9
P46777	Q02543
P37275	Q14919
P12980	Q969V6
Q92538	Q92888
P62820	Q9UPY8
Q13131	Q8IZP0
O75937	Q14683
Q14653	Q9Y3R0
P05060	Q53HC0
O15105	Q15750
P12980	Q6ZUT1
P14598	P19878
P27694	Q8IYD8
P20827	Q15375
P16871	P68371
O75448	Q9NPJ6
P26045	P78536
Q99459	Q9NVD7
O00221	P34931
P62917	Q8NE62
Q9P0M6	Q9UBN7
P18146	P29965
P29590	P67870
O95983	Q12873
P01242	P32927
P35626	Q8NGA6
O14832	O75674
P06733	P62993
P23508	Q13617
O00459	P16885
O60262	P84996
P04406	Q504Q3
P61289	Q9BXC9
P06400	Q9NY61
O95707	Q99575
P50613	P51948
P13861	Q92667
Q13315	Q9Y4P3
P12544	P39687
P16871	P42224
O60684	P36551
Q8N5R6	Q99750
Q13416	Q99741
P05161	P46934
P61077	Q6ZN04
O15111	Q8WXC3
B1A4H9	Q08334
P37173	P46937
O00459	P23458
P63000	Q9Y5S8
P06241	Q92988
Q01201	Q96EB6
O43921	P35968
Q13573	Q9Y266
P49917	Q7Z2E3
Q99594	Q9UJU2
P11274	P18031
P32121	Q96NX5
P01871	P04264
P16422	Q6GTX8
P04899	P63215
P62745	Q14185
O75832	P51665
O14776	Q15365
P04637	Q96GM5
Q9BYM8	Q9NYJ8
Q00536	Q15436
Q16543	Q9HC98
Q92979	Q96DW6
P17676	Q9HC16
P61587	Q9P286
P34820	Q13873
Q5VWQ8	Q9Y5J5
P54753	Q9UM73
P13569	P62979
P05112	P40189
P04637	P48730
P10912	Q13191
Q9BX67	Q9Y624
P05387	Q07020
P12830	P67870
P63096	Q92569
P13236	Q04206
P30153	Q05513
P24385	P46527
Q06432	Q9UQM7
P04183	Q8IXL6
P06400	Q9UQL6
O15479	P61254
P19086	P34998
P24864	P30260
P15408	Q10587
P42574	P55957
Q5T5U3	Q96L33
O15131	P36957
A6NLW9	P32121
P22694	P48436
Q13535	Q99708
P26373	Q04206
Q92620	Q9BUJ2
P60953	Q9Y6W5
P27986	Q86YH6
O43818	P10114
P04406	Q01105
P17096	Q96LA8
406909	O75116
P21796	Q16611
O00442	P62910
P07195	P16871
P25786	Q9BQ83
P25205	P78396
P04049	Q92934
P01876	Q8IY92
Q15027	Q9UBP9
P09471	P16473
P0CL85	P12980
O75937	Q8IX12
O15143	Q92558
P20248	P50613
O43676	P51970
O00221	Q9UPN7
O94972	Q15398
P19338	P37198
Q86U86	Q8TAQ2
Q14839	Q9UBB5
P31751	P63151
P56537	Q13347
P30101	Q02809
407024	P60953
P15336	P27361
P63000	Q99755
O43556	Q92629
A6NMX2	Q9HBH9
100008588	Q9H9Y6
Q99996	Q9BY76
P38405	Q8NGK9
Q8NFH3	Q99567
P30414	Q13315
P60953	Q9BYG5
P49023	Q14161
P48544	P50150
P01700	P01876
406956	P46527
O95602	P52434
O60711	P49639
P51817	P54646
O15105	P35711
Q14186	Q92831
P46527	Q13547
O00159	Q9H9Y6
P20309	Q5JY77
O60641	Q99759
P17301	Q13753
Q5SRE5	Q8NFH3
P02452	Q15796
P00519	P04083
P63000	Q86UR1
P51610	Q9Y5Z7
O14610	Q99677
P62993	P63104
Q07889	Q96RF0
Q969T4	Q96EP1
P00441	P18146
P02647	Q07343
P10600	P49747
O95967	P28300
O95411	P62993
P16070	P17676
P40855	P56589
O95467	P61952
O00505	P13010
P08754	P25025
P62826	Q15796
Q14204	Q15714
P48382	P61018
Q96B97	Q9NYB9
O75385	O95166
P01589	Q96RG2
P50402	Q9BZK7
P00738	P02649
P52198	Q14185
Q14134	Q96CN9
P11831	P63279
P33316	Q07869
P01891	Q9NYU2
P09496	Q96CW1
O14807	Q13972
P38398	Q92925
O15360	Q13472
P0CG48	P63104
P12314	Q8NHJ6
P01106	P29375
P48551	Q9HBE4
P38405	Q8NGR8
P25787	Q9BQ83
Q13465	Q92769
P25116	P49407
P01111	P12931
P43686	Q8N3K9
P78406	Q14683
O43395	Q15287
P10600	P49746
O60343	O94916
P23246	Q15653
Q14197	Q9Y2Z4
O43320	P00533
P63211	Q9Y272
Q99816	Q9BRG2
P52294	Q9UJU2
Q16821	Q93100
P01106	Q96KQ7
O15524	Q8N6P7
Q03164	Q13363
O95471	P56856
Q13177	Q92609
P50876	P62256
P14618	Q14451
P01889	P22309
Q6STE5	Q8NFD5
Q13568	Q14790
Q9BQE6	Q9NX58
P27482	Q13555
P30968	Q13485
Q14332	Q9H1J7
P31943	Q01130
Q13237	Q13733
P42345	P49815
P0C0L4	P25054
O00483	Q9Y6M9
P16473	P27824
P16104	Q9Y4L1
P07197	Q15759
Q8NHZ7	Q92769
Q96AG4	Q9UET6
P48050	Q9HAP6
P01903	P04233
P41968	Q8TCY5
Q13094	Q92783
P08754	Q9HAV0
O60885	Q14696
P01579	Q969J5
O15259	Q9ULH1
Q13315	Q9ULW0
Q8TAX0	Q9UET6
Q14186	Q15796
P12757	Q14789
P08047	P22304
Q5VTD9	Q6ZW76
442898	Q99835
O14561	Q9UI09
O43586	Q7L1Q6
P06241	P40763
O00303	Q99613
O15524	Q9HC73
P05067	P30679
P08238	Q08752
P01889	P43487
O14576	Q13885
O75461	P20248
Q08170	Q13243
O43353	P30084
P17301	P53708
O15047	Q6DRA6
O95402	Q96G25
O00327	P49840
Q02241	Q05823
Q15008	Q9NVI7
Q9NPD3	Q9NQT4
Q13547	Q66K89
P08238	Q96P20
Q96L33	Q9Y3M8
P49768	Q07817
Q9H492	Q9NS87
O00193	O75533
O75530	Q15910
O75489	Q9Y375
P05231	P13725
P46937	P62136
O95750	P22607
P12931	P98172
P04049	Q99683
P61978	Q9BTD8
O75369	P16144
O60341	P02708
P46060	Q9Y478
P55011	Q13315
P01569	P26992
Q6PIL6	Q96EK7
Q16891	Q8NCD3
P62993	P68431
P04899	Q8WYR1
O75474	P49841
P18146	Q14141
O14493	P56746
O96017	P41236
P15172	Q13485
P12644	P18146
Q13424	Q9UKP5
Q96JB5	Q96RT7
Q00403	Q12857
Q5EG05	Q9Y2G2
P14415	P22694
P04899	P28566
P04278	P54819
Q13547	Q96KQ7
P19438	Q16695
P24864	P51610
P05019	P09619
P23141	Q01094
P04222	P27797
P62993	Q92952
P35609	Q13797
P02743	P12314
O75398	P38936
P46734	Q5S007
Q07869	Q86TX2
O14640	P17252
P27986	Q9NRJ4
P53041	Q92731
P11142	P49407
P10827	Q9NX70
P48378	Q33E94
O60880	P60953
Q12933	Q9Y6Q6
P18031	P68400
P32121	Q9Y585
O14775	Q00975
Q9NRL3	Q9Y4P8
P51828	P63211
O00255	Q99717
P49841	Q9Y600
Q14814	Q14934
Q15334	Q15700
O75167	P62993
P01579	Q99650
Q08945	Q99877
P62877	Q86VP6
Q99877	Q9BY41
P06576	P38936
O60941	Q9NRG1
P02760	P41235
P61981	Q8WWL7
P35579	P60709
P22455	Q92915
Q9H479	Q9UM73
P27986	Q05397
Q15796	Q9H6Z4
P16885	Q02156
P29474	Q9UQM7
P11308	Q15047
Q13573	Q16629
O00182	O00214
P61586	Q92888
P68431	Q96GD4
O94916	Q96LZ3
P10275	P34932
Q8IXM3	Q9HAU4
Q12778	Q9Y618
407018	Q96DT7
P62140	Q16821
Q12931	Q13485
O00574	P08754
P17081	Q9P286
P06493	P53350
P0CG48	P21980
O14939	P61764
P26441	P78552
O00217	P03897
P01127	Q13442
P51668	Q9Y4K3
P07910	Q15287
P62308	Q16637
P07942	Q14118
P05106	P05997
Q16539	Q96DM3
P17612	Q08289
Q5T5U3	Q9HBH0
P04222	Q8IUC4
Q13127	Q9Y297
Q7Z3S7	Q9Y2T4
P12931	Q9NQ76
O00257	Q9BSM1
P49841	Q92574
O60674	Q14527
Q15005	Q9NY93
P14416	P32121
P23508	Q00059
Q5VVX9	Q86TM6
P11441	Q99459
P54253	Q9UBE8
Q16659	Q9NQX6
P35222	Q9BZK7
P07910	Q05519
P10914	P13232
P11831	Q14934
O14862	P10914
Q16665	Q9UNQ0
P53778	Q12968
P27482	Q9HD67
P22314	P63104
P00533	Q6S5L8
P29353	P33151
P16144	P46108
O15105	O15379
Q8NFJ9	Q99814
O60563	O60885
P61962	Q9Y463
P68431	Q16576
O43306	P61952
P61586	Q92974
P19883	Q12841
O00198	Q9HD36
P09619	P25208
P41220	Q9UBQ0
P05129	P60709
Q16520	Q9NR55
P17612	P18146
P46100	Q13472
P10398	Q02833
P61247	P62244
P36897	Q8TAI7
P07900	Q9UNE7
P51681	P80162
Q16629	Q96SB4
P60866	P62249
O15467	P51681
P16333	Q9H9Y6
P49336	Q92830
Q14019	Q96BK5
Q05086	Q9H6J7
P22694	Q01668
P67870	Q16877
P50570	Q9BX66
P61073	Q15853
Q99728	Q9P2H0
