#node1	node2
Q99459	Q9NPG3
O60353	Q96HF1
P62258	Q15365
P61077	Q6PCD5
O60840	P62879
P62714	Q6P5X5
P37108	Q14164
P17252	P78352
P35626	Q8NGX9
Q4G163	Q9UQM7
P36897	Q04771
O14561	O95139
P07948	Q13177
P40425	Q96S38
P67870	Q4L180
O75581	P41221
P49418	Q8WYR1
P08670	Q9H2D6
P11171	P99999
P01569	P42701
P61587	Q9BZ29
O60266	P51787
Q7Z5H3	Q8IXI1
Q00403	Q92793
O95169	Q9NR50
O60266	P05771
P01241	P16471
P35251	P40937
P35354	Q9UNS2
P63104	Q9UKX3
P01106	Q96C92
P60953	Q5HYC2
P26640	Q9UBN6
O00329	Q07889
O14529	P13569
Q15116	Q9BQ51
P10600	P45984
O15264	Q15233
Q96B26	Q9Y613
P02679	P05154
P52306	P60953
P01106	Q08722
O95391	Q13315
Q13315	Q9UJY5
P35580	P63261
Q96BN2	Q9H0E3
P43243	Q00653
O75396	Q9NYM9
Q8WXU2	Q9H0R8
P12236	P22607
O95257	P28715
P38936	Q99741
P41587	Q96RT1
P13805	Q9Y2I6
O76070	P28482
P05067	Q99683
Q6ZN18	Q86SE5
P20290	P56537
P27986	P49841
P11177	Q14451
P11473	Q15596
