#tail	head	edge_flux
P25789	Q9Y244	6.99587e-07
Q7Z6M2	P67809	6.99464e-07
Q7Z6M2	O00410	6.99464e-07
Q7Z6M2	P38646	6.99464e-07
Q7Z6M2	P08238	6.99464e-07
Q7Z6M2	P62877	6.99464e-07
Q7Z6M2	Q13616	6.99464e-07
Q7Z6M2	O00571	6.99464e-07
Q7Z6M2	Q07021	6.99464e-07
Q7Z6M2	P63208	6.99464e-07
Q9NYL2	O14733	6.99323e-07
Q7Z6J0	Q14289	6.99248e-07
Q7Z6J0	Q8IVH8	6.99248e-07
Q7Z6J0	Q9H2E6	6.99248e-07
P13612	P17301	6.99235e-07
P13612	Q9UKX5	6.99235e-07
P13612	P26006	6.99235e-07
P13612	Q07890	6.99235e-07
P13612	P53708	6.99235e-07
P13612	P23229	6.99235e-07
P13612	P06756	6.99235e-07
P13612	P08648	6.99235e-07
P13612	Q13683	6.99235e-07
P13612	Q07889	6.99235e-07
P13612	O75578	6.99235e-07
P13612	P56199	6.99235e-07
P13612	Q13797	6.99235e-07
P31949	P00533	6.99083e-07
P31949	P04083	6.99083e-07
P31949	P19338	6.99083e-07
P31949	P01889	6.99083e-07
Q13547	P23769	6.99050e-07
P61981	P22681	6.98999e-07
Q6ZVK8	O94972	6.98977e-07
Q6ZVK8	O75525	6.98977e-07
Q6ZVK8	Q9BPX1	6.98977e-07
Q6ZVK8	Q96GX9	6.98977e-07
Q6ZVK8	P61457	6.98977e-07
Q6ZVK8	P22234	6.98977e-07
Q6ZVK8	Q9NTM9	6.98977e-07
Q6ZVK8	O96006	6.98977e-07
Q6ZVK8	Q8N5Z5	6.98977e-07
Q6ZVK8	P49366	6.98977e-07
Q6ZVK8	Q96CG3	6.98977e-07
Q6ZVK8	P15104	6.98977e-07
Q6ZVK8	Q9H446	6.98977e-07
Q6ZVK8	P19012	6.98977e-07
Q6ZVK8	Q14749	6.98977e-07
Q6ZVK8	O95810	6.98977e-07
Q6ZVK8	P33316	6.98977e-07
Q6ZVK8	P61289	6.98977e-07
Q6ZVK8	Q9BQ66	6.98977e-07
Q6ZVK8	Q12933	6.98977e-07
Q6ZVK8	Q9UI14	6.98977e-07
Q6ZVK8	P32321	6.98977e-07
Q6ZVK8	P49902	6.98977e-07
Q6ZVK8	Q8WZ19	6.98977e-07
Q6ZVK8	Q8TBN0	6.98977e-07
Q9UKK9	Q9BQS6	6.98913e-07
Q9UKK9	O60318	6.98913e-07
O95994	Q02817	6.98753e-07
Q07817	Q09472	6.98744e-07
Q07817	Q9H1Y0	6.98744e-07
Q07817	Q8IVG9	6.98744e-07
Q09472	P25490	6.98299e-07
Q9H4W6	P38936	6.98299e-07
Q9Y6N7	Q9HCK4	6.98264e-07
Q01469	P20823	6.98210e-07
Q01469	Q9Y478	6.98210e-07
Q01469	P40337	6.98210e-07
Q01469	O14965	6.98210e-07
Q01469	Q9Y4K3	6.98210e-07
Q01469	P11171	6.98210e-07
Q01469	O60739	6.98210e-07
Q01469	P23508	6.98210e-07
Q01469	Q9H1Y0	6.98210e-07
Q01469	O43353	6.98210e-07
Q01469	Q14164	6.98210e-07
Q01469	P24941	6.98210e-07
P56524	P15336	6.98161e-07
O95714	Q9NRI5	6.98085e-07
Q13526	Q9GZR7	6.97837e-07
Q13526	O14543	6.97837e-07
Q13526	P48357	6.97837e-07
Q9HD36	Q8IVG9	6.97532e-07
Q9HD36	P22736	6.97532e-07
Q8IVH8	P0CG48	6.97428e-07
Q8IVH8	P62987	6.97428e-07
Q8IVH8	P0CG47	6.97428e-07
Q8IVH8	P62979	6.97428e-07
Q9NS64	Q9UKB1	6.97381e-07
Q9NS64	Q86UX6	6.97381e-07
Q9NS64	Q13616	6.97381e-07
Q9NS64	O00255	6.97381e-07
Q9NS64	P11802	6.97381e-07
Q8IUD2	Q6IBS0	6.97372e-07
P50222	P01282	6.97302e-07
P50222	Q9Y512	6.97302e-07
P50222	O00295	6.97302e-07
P50222	Q9BQ66	6.97302e-07
