#tail	head	edge_flux
O00425	P62633	3.08289e-07
O00425	Q9GZS1	3.08289e-07
Q13907	O75807	3.08283e-07
Q9P2M1	P98164	3.08167e-07
Q00587	P60953	3.08163e-07
Q92620	P98175	3.08148e-07
Q92620	Q92917	3.08148e-07
Q92620	O60231	3.08148e-07
Q16625	P08034	3.08108e-07
Q15274	O15131	3.08067e-07
Q15274	O60684	3.08067e-07
P58876	Q9UBN7	3.08018e-07
P58876	Q9UKV0	3.08018e-07
P58876	O15379	3.08018e-07
P58876	Q13547	3.08018e-07
P58876	Q92769	3.08018e-07
P58876	P56524	3.08018e-07
P58876	Q96DB2	3.08018e-07
P58876	Q969S8	3.08018e-07
P58876	Q9BY41	3.08018e-07
P58876	Q9UQL6	3.08018e-07
P58876	Q8WUI4	3.08018e-07
P37837	P62330	3.07986e-07
P37837	P56537	3.07986e-07
P37837	Q9Y4K3	3.07986e-07
P37837	O60739	3.07986e-07
P37837	P23508	3.07986e-07
P37837	Q14164	3.07986e-07
O15455	Q13485	3.07953e-07
O15455	O95863	3.07953e-07
O15455	P84022	3.07953e-07
Q96LJ7	O15162	3.07822e-07
Q96LJ7	Q99750	3.07822e-07
P28328	P40855	3.07792e-07
Q8N8D1	Q99689	3.07749e-07
Q8N8D1	P54257	3.07749e-07
Q99613	P60228	3.07720e-07
Q99613	Q9UBQ5	3.07720e-07
Q99613	O15372	3.07720e-07
Q99613	O15371	3.07720e-07
Q99613	Q14152	3.07720e-07
Q99613	P60709	3.07720e-07
Q99613	O75821	3.07720e-07
Q99613	O75822	3.07720e-07
Q99613	Q9UL03	3.07720e-07
Q99613	O00303	3.07720e-07
Q99613	Q13347	3.07720e-07
Q99613	Q96PM5	3.07720e-07
Q13753	P30101	3.07671e-07
Q13753	P05556	3.07671e-07
Q13753	P23229	3.07671e-07
Q13753	P16144	3.07671e-07
Q13753	Q13751	3.07671e-07
Q13753	Q16787	3.07671e-07
P09471	Q13561	3.07667e-07
Q96HD1	P56537	3.07643e-07
Q8WZ42	P20807	3.07632e-07
Q8WZ42	Q99684	3.07632e-07
Q8WZ42	P52735	3.07632e-07
Q8WZ42	Q12841	3.07632e-07
P35606	P01106	3.07607e-07
P35606	Q99459	3.07607e-07
P35606	Q13573	3.07607e-07
Q13347	P01241	3.07597e-07
Q13347	Q99459	3.07597e-07
Q13347	P30480	3.07597e-07
Q13347	Q13573	3.07597e-07
Q9UJX2	P33992	3.07565e-07
Q9UJX2	P33993	3.07565e-07
Q9UJX2	P35251	3.07565e-07
Q9UJX2	P33991	3.07565e-07
Q9UJX2	Q13112	3.07565e-07
Q9UJX2	Q13111	3.07565e-07
Q9UJX2	Q09028	3.07565e-07
Q9UJX2	Q96T88	3.07565e-07
Q9UJX2	P38936	3.07565e-07
Q9UJX2	Q06609	3.07565e-07
Q9UJX2	P40937	3.07565e-07
Q9UJX2	P06400	3.07565e-07
Q9UJX2	P35250	3.07565e-07
Q9UJX2	Q68CP9	3.07565e-07
Q9UJX2	P30304	3.07565e-07
Q9UJX2	Q8NFD5	3.07565e-07
Q9UJX2	P11802	3.07565e-07
Q9UJX2	Q13416	3.07565e-07
Q9UJX2	P25205	3.07565e-07
Q9UJX2	Q99741	3.07565e-07
Q9UJX2	Q96GM5	3.07565e-07
Q9UJX2	Q12824	3.07565e-07
Q9UJX2	P42771	3.07565e-07
Q9UJX2	Q13315	3.07565e-07
Q9UJX2	P51531	3.07565e-07
Q9UJX2	P51532	3.07565e-07
Q9UJX2	P01106	3.07565e-07
Q9UJX2	O43913	3.07565e-07
Q9UJX2	Q86U86	3.07565e-07
Q9UJX2	P40692	3.07565e-07
Q9UJX2	Q9Y5N6	3.07565e-07
Q9UJX2	Q92922	3.07565e-07
Q9UJX2	O43929	3.07565e-07
Q9UJX2	O60921	3.07565e-07
Q9UJX2	Q7L590	3.07565e-07
Q9UJX2	P04183	3.07565e-07
Q9UJX2	Q6STE5	3.07565e-07
Q9UJX2	P35249	3.07565e-07
Q9UJX2	O96019	3.07565e-07
Q9UJX2	Q99638	3.07565e-07
Q9UJX2	Q13415	3.07565e-07
Q9UJX2	Q14566	3.07565e-07
Q9UJX2	Q969G3	3.07565e-07
Q9UJX2	O94805	3.07565e-07
Q9UJX2	Q01094	3.07565e-07
Q9UJX2	P40938	3.07565e-07
Q9UJX2	P24522	3.07565e-07
Q9UJX2	P49736	3.07565e-07
Q9UJX2	Q92925	3.07565e-07
Q9UJX2	A0JLT2	3.07565e-07
Q9UJX2	P10244	3.07565e-07
Q9UJX2	O60671	3.07565e-07
Q9UJX2	O75496	3.07565e-07
Q9UJX2	P00374	3.07565e-07
Q9UJX2	P20248	3.07565e-07
Q9UJX2	Q9UBD5	3.07565e-07
Q9UJX2	P24385	3.07565e-07
Q9UJX2	P12004	3.07565e-07
Q9UJX2	O14497	3.07565e-07
Q9UJX2	Q8TAQ2	3.07565e-07
P56178	P35548	3.07505e-07
P56178	Q96T58	3.07505e-07
P56178	Q9Y5V3	3.07505e-07
Q92585	P49336	3.07484e-07
Q9P2D8	P01876	3.07479e-07
Q9HBW0	Q5JWF2	3.07456e-07
Q9HBW0	P84996	3.07456e-07
Q9HBW0	P48736	3.07456e-07
Q9HBW0	P63092	3.07456e-07
Q9HBW0	O95467	3.07456e-07
Q9HBW0	P50148	3.07456e-07
Q9HBW0	Q8WYR1	3.07456e-07
P06132	Q12873	3.07135e-07
P06132	Q9UGU5	3.07135e-07
P06132	P08670	3.07135e-07
P06132	Q9UNN5	3.07135e-07
P06132	P08246	3.07135e-07
P98175	Q5VVJ2	3.07117e-07
Q14168	Q99459	3.06999e-07
O15287	P08727	3.06984e-07
O15287	Q8N6K7	3.06984e-07
Q69YU3	Q9Y5U9	3.06953e-07
Q13136	Q15596	3.06871e-07
Q13136	Q13332	3.06871e-07
Q13136	P35240	3.06871e-07
Q13136	P23468	3.06871e-07
Q13136	P10586	3.06871e-07
Q13136	O75145	3.06871e-07
Q13136	Q8ND30	3.06871e-07
Q13136	Q86W92	3.06871e-07
Q13136	O75334	3.06871e-07
Q13136	A0JLT2	3.06871e-07
Q13136	Q8IUD2	3.06871e-07
O60783	Q9NR30	3.06858e-07
P56385	Q9HCK5	3.06851e-07
P23141	P58062	3.06827e-07
P23141	P08236	3.06827e-07
P23141	Q15139	3.06827e-07
P23141	Q8TE69	3.06827e-07
Q58EX7	P38432	3.06801e-07
Q674X7	P38432	3.06801e-07
Q4J6C6	P38432	3.06801e-07
P61077	Q9UKV5	3.06740e-07
P61077	Q969V5	3.06740e-07
